Vehicle,Value,Rarity,PI
Koenigsegg Regera 2016Autoshow,2550000,LEGENDARY,S2886
Koenigsegg One:1 2015Wheelspin,3750000,LEGENDARY,S2890
"Koenigsegg Agera 2011Autoshow, Wheelspin",1950000,LEGENDARY,S2810
"Koenigsegg CCGT 2008Autoshow, Wheelspin, Aftermarket Car",3400000,LEGENDARY,S2900
"KTM X-Bow GT4 2018Autoshow, Wheelspin",90000,EPIC,S1749
"Lamborghini Revuelto 2024Autoshow, Earn 2,500 points in the ""Road Racing"" category in the Collection Journal",365000,LEGENDARY,S2829
"Lamborghini Temerario 2024""Hard to Find""",250000,LEGENDARY,S2801
"Lamborghini Huracán Sterrato 2023Earn 7,610 points in the ""Dirt Racing"" category in the Collection Journal",325000,LEGENDARY,S1738
"Lamborghini Huracán EVO Spyder 2022""Hard to Find""",325000,RARE,S1757
"Lamborghini Huracán Tecnica 2022Autoshow, Wheelspin",365000,LEGENDARY,S1747
Lamborghini Aventador LP 780-4 Ultimae 2021Earn the Gold wristband,800000,LEGENDARY,S1794
"Lamborghini Countach LPI 800-4 2021Autoshow, Wheelspin",2100000,LEGENDARY,S1773
"Lamborghini Essenza SCV12 2020Autoshow, Wheelspin",1500000,LEGENDARY,R911
"Lamborghini Sián Roadster 2020Autoshow, Wheelspin",2500000,LEGENDARY,S1797
"Lamborghini Huracán STO 2020Autoshow, Wheelspin",325000,LEGENDARY,S1783
"Lamborghini Huracán EVO 2020""Hard to Find""",250000,EPIC,S1761
"Lamborghini Urus 2019Autoshow, Earn 1,675 points in the ""Horizon Play"" category in the Collection Journal",200000,RARE,A659
"Lamborghini Aventador SVJ 2018Autoshow, Wheelspin",1200000,LEGENDARY,S1794
"Lamborghini Centenario LP 770-4 2016Autoshow, Wheelspin, Loyalty Reward",1750000,LEGENDARY,S1792
"Lamborghini Huracán LP 610-4 2014Autoshow, Wheelspin, Loyalty Reward",200000,EPIC,S1738
"Lamborghini Veneno 2013Autoshow, Wheelspin",3950000,LEGENDARY,S2834
Lamborghini Aventador LP700-4 2012Wheelspin,345000,EPIC,S1753
"Lamborghini Gallardo LP570-4 Spyder Performante 2012Autoshow, Wheelspin",210000,EPIC,A685
Lamborghini Sesto Elemento 2011Wheelspin,2500000,LEGENDARY,S2871
"Lamborghini Murciélago LP 670-4 SV 2010Autoshow, Wheelspin",1000000,EPIC,S1707
Lamborghini Diablo GTR 1999Wheelspin,680000,EPIC,S2823
Lamborghini Diablo SV 1997Barn Find: East Ito,375000,BARN FIND,A649
"Lamborghini Countach LP5000 QV 1988""Hard to Find""",600000,EPIC,A622
"Lamborghini Miura P400 1967Autoshow, Wheelspin",1700000,LEGENDARY,B505
"Lancia Delta HF Integrale Evo 1992Autoshow, Wheelspin",110000,COMMON,C489
"Lancia Delta S4 1986Autoshow, Wheelspin",55000,RARE,B564
"Lancia 037 Stradale 1982""Hard to Find""",600000,EPIC,B555
Lancia Stratos HF Stradale 1974Treasure Car: Central Sotoyama,680000,TREASURE CAR,C483
Land Rover Defender 110 X 2020Autoshow,250000,COMMON,C427
"Land Rover Range Rover Sport SVR 2015Autoshow, Earn 200 points in the ""Danger Signs"" category in the Collection Journal",48000,RARE,A604
"Lexus LC 500 2021Autoshow, Wheelspin",79000,RARE,B592
"Lexus RC F 2015Autoshow, Wheelspin",35000,RARE,A623
"Lexus LFA Forza Edition 2010Earn 7,000 points in the ""Touge & Street Racing"" category in the Collection Journal",1250000,FORZA EDITION,S2900
Lexus LFA 2010Autoshow,875000,EPIC,A699
Lincoln Continental 1962Barn Find: West of The Estate,65000,BARN FIND,D267
"Lotus Emira 2023""Hard to Find""",250000,RARE,A656
"Lotus Evija 2020Autoshow, Wheelspin",2450000,LEGENDARY,R937
Lotus Evija Forza Edition 2020Gifted (DLC: VIP Membership),500000,FORZA EDITION,S2900
"Lotus Scura Motorsports Exige WTAC 2018Earn 9,360 points in the ""Road Racing"" category in the Collection Journal",400000,LEGENDARY,R998
"Lotus Exige Cup 430 2018""Hard to Find""",250000,EPIC,S1732
"Lotus Elise Series 1 Sport 190 1999Autoshow, Wheelspin",47000,COMMON,B589
"Lotus Elise GT1 1997Autoshow, Wheelspin, Aftermarket Car",1500000,LEGENDARY,S1709
"Lucid Air Sapphire 2024Autoshow, Wheelspin",240000,RARE,S2820
"Maserati MC20 2022Autoshow, Wheelspin",220000,EPIC,S1753
"Maserati MC12 Versione Corsa 2008Autoshow, Wheelspin",3100000,LEGENDARY,R912
"Maserati MC12 2004""Hard to Find""",3750000,EPIC,S1751
"Maserati Ghibli Cup 1997Autoshow, Earn 525 points in the ""Car Collection"" category in the Collection Journal",102000,RARE,B591
"Mazda MX-5 Miata RF 2022Autoshow, Wheelspin, Aftermarket Car",29000,EPIC,B509
"Mazda MX-5 Cup 2017Autoshow, Earn 300 points in the ""Horizon Play"" category in the Collection Journal",60000,EPIC,B586
Mazda MX-5 2016Autoshow,18000,EPIC,C499
"Mazda MX-5 2013Autoshow, Wheelspin",28000,COMMON,C432
"Mazda RX-8 R3 2011Autoshow, Wheelspin, Aftermarket Car",33000,RARE,B508
"Mazda Mazdaspeed 3 2010Autoshow, Wheelspin",25000,COMMON,B536
"Mazda Furai 2008""Hard to Find""",353000,LEGENDARY,R926
"Mazda Mazdaspeed MX-5 2005Autoshow, Wheelspin",21000,COMMON,C469
Mazda MX-5 Miata Forza Edition 1994Aftermarket Car (Horizon Festival Drag Strip),500000,FORZA EDITION,S2850
"Mazda MX-5 Miata 1994Autoshow, Wheelspin, Aftermarket Car",15000,COMMON,D329
"Mazda RX-7 Type R 1992Autoshow, Earn 200 points in the ""Drift Zones"" category in the Collection Journal",40000,RARE,B548
Mazda #55 Mazda 787B 1991Barn Find: Central Takashiro,1220000,BARN FIND,R988
"Mazda Savanna RX-7 1990Autoshow, Wheelspin",23000,EPIC,C451
Mazda RX-7 GSL-SE 1985Treasure Car: Northwest Ohtani,30000,TREASURE CAR,D357
Mazda #123 Mad Mike 808 Wagon 'FURSTY' 1974Autoshow (DLC: Car Pass),100000,LEGENDARY,S1702
Mazda RX-3 Forza Edition 1973Aftermarket Car (Daikoku Parking Area),500000,FORZA EDITION,B600
"Mazda RX-3 1973Autoshow, Wheelspin",73000,COMMON,D328
"Mazda Cosmo 110S Series II 1972""Hard to Find""",250000,EPIC,D394
"McLaren Artura 2023Autoshow, Wheelspin",220000,EPIC,S1766
"McLaren 765LT Coupé 2021Autoshow, Wheelspin",358000,EPIC,S2829
"McLaren Sabre 2021""Hard to Find""",3400000,EPIC,S1787
McLaren 620R 2021Wheelspin,260000,EPIC,S1773
"McLaren Speedtail 2019Autoshow, Wheelspin",2000000,LEGENDARY,S2835
McLaren 600LT Coupé 2018Autoshow,260000,EPIC,S1780
"McLaren 570S Coupé 2015Autoshow, Wheelspin, Aftermarket Car",130000,EPIC,S1721
"McLaren 650S Spider 2014Autoshow, Wheelspin",130000,EPIC,S1765
"McLaren P1 2013Autoshow, Wheelspin",1550000,LEGENDARY,S2848
"McLaren 12C Coupé 2011Autoshow, Wheelspin",105000,EPIC,S1727
"McLaren F1 GT 1997Autoshow, Wheelspin",5500000,LEGENDARY,S1769
"McLaren F1 1993Autoshow, Wheelspin",5000000,LEGENDARY,S1713
"Mercedes-AMG Mercedes-AMG ONE 2021Autoshow, Wheelspin",2800000,LEGENDARY,S2900
"Mercedes-AMG GT Black Series 2021Autoshow, Wheelspin, Aftermarket Car",440000,EPIC,S1782
"Mercedes-AMG SL 63 2021Autoshow, Wheelspin",120000,RARE,A690
Mercedes-AMG GT Black Series 'Welcome Pack' 2020Autoshow (DLC: Welcome Pack),200000,LEGENDARY,S2900
"Mercedes-AMG SLC 43 Final Edition 2020Autoshow, Wheelspin",50000,RARE,A620
"Mercedes-AMG E 63 S 2018Autoshow, Wheelspin, Aftermarket Car",63000,EPIC,A674
Mercedes-AMG GT 4-Door Coupé 2018Wheelspin,250000,EPIC,A664
"Mercedes-AMG GT R 2017""Hard to Find""",250000,EPIC,S1764
"Mercedes-AMG C 63 S Coupé 2016Autoshow, Wheelspin",34000,RARE,A645
"Mercedes-AMG GT S 2015Autoshow, Wheelspin",90000,RARE,A691
"Mercedes-Benz X-Class 2018Autoshow, Wheelspin",50000,COMMON,D258
Mercedes-Benz G 63 AMG 6x6 2014Wheelspin,780000,EPIC,C489
"Mercedes-Benz Unimog U5023 2014Autoshow, Wheelspin",235000,RARE,D100
"Mercedes-Benz A 45 AMG 2013Autoshow, Wheelspin",25000,RARE,B582
"Mercedes-Benz G 65 AMG 2013Autoshow, Earn 200 points in the ""Trailblazers"" category in the Collection Journal",120000,RARE,B530
Mercedes-Benz C 63 AMG Coupé Black Series 2012Autoshow,175000,EPIC,A654
"Mercedes-Benz SL 65 AMG Black Series 2009Autoshow, Wheelspin",360000,EPIC,A699
Mercedes-Benz AMG CLK GTR 1998Wheelspin,3600000,LEGENDARY,S1713
Mercedes-Benz 190E 2.5-16 Evolution II Forza Edition 1990Wheelspin,750000,FORZA EDITION,A700
Mercedes-Benz 190E 2.5-16 Evolution II 1990Autoshow,200000,EPIC,C460
"Mercedes-Benz AMG Hammer Coupe 1987Autoshow, Wheelspin",225000,COMMON,B565
"Mercedes-Benz 300 SLR 1955Autoshow, Wheelspin",60000000,LEGENDARY,B599
"Mercedes-Benz 300 SL Coupé 1954Autoshow, Wheelspin",1700000,LEGENDARY,D388
"Meyers Manx 2.0 2023Autoshow, Wheelspin",74000,EPIC,B540
"Meyers Manx 1971Autoshow, Wheelspin",34000,EPIC,D201
"MG Metro 6R4 1986Autoshow, Wheelspin, Earn 2,500 points in the ""Dirt Racing"" category in the Collection Journal",220000,LEGENDARY,A627
"MINI John Cooper Works GP 2021""Hard to Find""",250000,RARE,B599
"MINI X-Raid John Cooper Works Buggy 2018Earn 6,910 points in the ""Cross Country Racing"" category in the Collection Journal",425000,EPIC,B514
"MINI X-Raid All4 Racing Countryman 2013Autoshow, Wheelspin",220000,EPIC,B523
"MINI John Cooper Works GP 2012Autoshow, Wheelspin",30000,RARE,B509
"MINI Cooper S 1965Autoshow, Wheelspin, Aftermarket Car",39000,RARE,D158
"Mitsubishi Lancer Evolution X GSR 2008Autoshow, Wheelspin, Aftermarket Car",25000,RARE,B534
"Mitsubishi Lancer Evolution IX MR 2006""Hard to Find""",250000,EPIC,B521
Mitsubishi #1 Sierra Sierra Enterprises Lancer Evolution Time Attack 2005Barn Find: North Shimanoyama,90000,BARN FIND,R962
Mitsubishi Lancer Evolution VIII MR 'Welcome Pack' 2004Autoshow (DLC: Welcome Pack),100000,LEGENDARY,A700
"Mitsubishi Lancer Evolution VIII MR 2004Autoshow, Wheelspin, Aftermarket Car",30000,RARE,B555
"Mitsubishi Lancer Evolution VI GSR TM Edition 2001Autoshow, Earn the Yellow Wristband",70000,RARE,B574
"Mitsubishi GTO 1997Autoshow, Wheelspin, Aftermarket Car",20000,COMMON,C495
Mitsubishi Montero Evolution 1997Barn Find: East Shimanoyama,50000,BARN FIND,D346
Mitsubishi Lancer Evolution III GSR 1995Treasure Car: West Takashiro,29000,TREASURE CAR,B517
"Mitsubishi Eclipse GSX 1995Autoshow, Wheelspin, Aftermarket Car",35000,COMMON,C436
"Mitsubishi Montero Exceed 2800 TD 1995Autoshow, Wheelspin",25000,RARE,D190
"Mitsubishi Galant VR-4 1992Autoshow, Wheelspin",25000,RARE,C432
Mitsubishi #269 Attacking the Clock Racing Minicab Time Attack 1990Autoshow (DLC: Time Attack Car Pack),100000,EPIC,D166
"Nissan GT-R NISMO 2024Autoshow, Earn 1,000 points in the ""Touge & Street Rivals"" category in the Collection Journal",220000,EPIC,S1741
"Nissan Z NISMO 2024Autoshow, Wheelspin, Aftermarket Car",60000,EPIC,A652
"Nissan GT-R NISMO (R35) 2020Autoshow, Wheelspin",270000,EPIC,S1736
"Nissan 370Z Nismo 2019Autoshow, Wheelspin, Aftermarket Car",46000,RARE,A603
"Nissan GT-R (R35) 2017Autoshow, Wheelspin",115000,RARE,S1709
Nissan GT-R Black Edition (R35) Forza Edition 2012Wheelspin,750000,FORZA EDITION,S2850
"Nissan GT-R Black Edition (R35) 2012Autoshow, Wheelspin, Aftermarket Car",80000,RARE,S1703
"Nissan 370Z 2010""Hard to Find""",250000,COMMON,B568
"Nissan Fairlady Z 2003Autoshow, Wheelspin, Aftermarket Car",18000,COMMON,B534
"Nissan Silvia Spec-R 2002Autoshow, Wheelspin",44000,COMMON,B551
Nissan #36 Dream Project S15 Silvia WTAC 2000Autoshow (DLC: Time Attack Car Pack),400000,EPIC,R996
"Nissan Skyline GT-R V·Spec II 2000Autoshow, Wheelspin",200000,RARE,B590
Nissan #23 Pennzoil NISMO Skyline GT-R 1998Barn Find: West Takashiro,600000,BARN FIND,S2848
Nissan R390 (GT1) 1998Barn Find: Southwest Ohtani,1000000,BARN FIND,S1774
Nissan Skyline GT-R 40th Anniversary 1998Autoshow (DLC: Car Pass),120000,LEGENDARY,B547
"Nissan Silvia K's Aero 1998Autoshow, Wheelspin, Aftermarket Car",22000,COMMON,C494
"Nissan Skyline GT-R V-Spec 1997""Hard to Find""",250000,RARE,B555
"Nissan NISMO GT-R LM 1995Autoshow, Wheelspin",1100000,LEGENDARY,B544
"Nissan Stagea RS FOUR V 1997Autoshow, Wheelspin, Aftermarket Car",20000,EPIC,C439
"Nissan Gloria Gran Turismo 1995Autoshow, Wheelspin",15000,RARE,C498
"Nissan Silvia K's 1994Autoshow, Wheelspin",20000,COMMON,C499
Nissan Fairlady Z Version S Twin Turbo 1994Autoshow,40000,EPIC,C497
Nissan #32 Skyline WTAC 'Xtreme GTR' 1993Autoshow (DLC: Time Attack Car Pack),570000,EPIC,R923
Nissan 240SX 1993Wheelspin,250000,EPIC,D339
"Nissan Skyline GT-R 1992Autoshow, Wheelspin, Aftermarket Car",72000,RARE,B541
Nissan Figaro 1991Treasure Car: Southwest Tokyo,40000,TREASURE CAR,D234
Nissan #12 Skyline GT-R (BNR32 Gr.A) JTC 1990Autoshow (DLC: Car Pass),1500000,LEGENDARY,S2858
"Nissan Pulsar GTI-R 1990Autoshow, Wheelspin, Aftermarket Car",28000,RARE,C486
Nissan S-Cargo Forza Edition 1989Wheelspin,500000,FORZA EDITION,S1800
"Nissan Silvia K's 1989Autoshow, Complete the Prologue",40000,COMMON,C455
Nissan PAO 1989Barn Find: West Minamino,12000,BARN FIND,D145
"Nissan S-Cargo 1989Autoshow, Wheelspin, Aftermarket Car",19000,RARE,D131
Nissan Skyline GTS-R 1987Autoshow,41000,EPIC,C432
"Nissan Be-1 1987""Hard to Find""",23000,EPIC,D175
Nissan Safari Turbo 1985Treasure Car: North Ito,25000,TREASURE CAR,D123
Nissan #11 Tomica Skyline Turbo Super Silhouette 1983Barn Find: Central Ito,301000,BARN FIND,S2847
"Nissan Skyline H/T 2000GT-R 1973Autoshow, Wheelspin",416000,EPIC,C407
Nissan Skyline 2000GT-R 1971Barn Find: Southwest Nangan,169000,BARN FIND,D380
Nissan Patrol 1972Autoshow (DLC: Car Pass),0,COMMON,D157
"Nissan Fairlady Z 432 1969Autoshow, Wheelspin",250000,EPIC,D369
"Noble M600 2010Autoshow, Wheelspin, Aftermarket Car",322000,EPIC,S1793
"Opel Manta 400 1984Autoshow, Aftermarket Car, Earn 1,075 points in the ""Dirt Rivals"" category in the Collection Journal",152000,RARE,B576
"Pagani Huayra R 2021""Hard to Find""",2750000,LEGENDARY,R954
"Pagani Huayra BC Coupe 2016Autoshow, Wheelspin",3600000,LEGENDARY,S2851
"Pagani Zonda Cinque Roadster 2010Autoshow, Wheelspin",4000000,LEGENDARY,S2812
"Pagani Zonda R 2009Autoshow, Wheelspin",4750000,LEGENDARY,R918
"Peel P50 1962Autoshow, Wheelspin, Aftermarket Car",21000,LEGENDARY,D100
Peel P50 Trolli Edition 1962Autoshow (Promotional: Trolli),21000,LEGENDARY,D100
"Penhall The Cholla 2011Autoshow, Wheelspin, Aftermarket Car",85000,RARE,B541
Peugeot 207 Super 2000 2007Earn the Pink wristband,85000,EPIC,A632
"Peugeot 205 Rallye 1991Autoshow, Wheelspin",22000,RARE,D350
Peugeot 205 Turbo 16 1984Barn Find: Northwest Shimanoyama,275000,BARN FIND,C500
"Plymouth Cuda 426 HEMI 1971Autoshow, Wheelspin",125000,EPIC,C441
"Plymouth Barracuda Formula S 1968Autoshow, Wheelspin",45000,RARE,C445
"Plymouth Fury 1958Autoshow, Wheelspin",53000,RARE,D361
"Polaris RZR Pro XP Ultimate 2021Autoshow, Earn 2,500 points in the ""Cross Country Racing"" category in the Collection Journal",34000,RARE,C496
"Polaris RZR Pro XP Factory Racing Limited Edition 2021Autoshow, Wheelspin",50000,RARE,C439
"Pontiac Firebird Trans Am GTA 1987Autoshow, Wheelspin",25000,COMMON,D382
"Pontiac Firebird Trans Am 1977Autoshow, Wheelspin",60000,RARE,D311
"Porsche 911 Turbo S 2023Autoshow, Wheelspin",275000,RARE,S1774
"Porsche 911 GT3 RS 2023Autoshow, Wheelspin",424000,EPIC,S1758
Porsche 911 Rallye 2023Earn the Orange wristband,390000,EPIC,A700
"Porsche Mission R 2022Autoshow, Wheelspin, Aftermarket Car",5000000,LEGENDARY,S2865
"Porsche 718 Cayman GT4 RS 2022Autoshow, Earn 1,300 points in the ""Road Rivals"" category in the Collection Journal",190000,EPIC,S1737
"Porsche 911 GT3 2021Autoshow, Wheelspin",260000,EPIC,S1752
"Porsche Taycan Turbo S 2020Autoshow, Wheelspin",200000,COMMON,S1725
"Porsche #70 Porsche Motorsport 935 2019Autoshow, Wheelspin",1600000,LEGENDARY,S2853
Porsche 911 GT3 RS 2019Wheelspin,250000,EPIC,S1760
"Porsche 911 Carrera S 2019Autoshow, Wheelspin",145000,RARE,S1714
"Porsche 911 GT2 RS 2018Autoshow, Wheelspin, Aftermarket Car",550000,EPIC,S2803
"Porsche 718 Cayman GTS 2018Autoshow, Wheelspin",75000,EPIC,A675
"Porsche Cayenne Turbo 2018Autoshow, Wheelspin",79000,EPIC,A638
"Porsche Macan LPR Rally Raid 2018Autoshow, Wheelspin",250000,EPIC,B528
"Porsche 918 Spyder 2014Autoshow, Earn 3,700 points in the ""Horizon Play"" category in the Collection Journal",2300000,LEGENDARY,S2858
"Porsche 911 GT3 RS 4.0 2012Autoshow, Earn 2,500 points in the ""Speed Zones"" category in the Collection Journal",930000,EPIC,S1726
"Porsche Cayman GT3 WTAC 2005Autoshow, Wheelspin",180000,EPIC,S2856
"Porsche 911 GT3 2004Autoshow, Wheelspin, Aftermarket Car",135000,RARE,A674
Porsche Carrera GT 2003Car Mastery: Porsche 918 Spyder,1800000,EPIC,S1758
"Porsche 911 GT1 Strassenversion 1997Autoshow, Wheelspin",4000000,LEGENDARY,S1746
Porsche 911 GT2 1995Wheelspin,1100000,EPIC,A644
"Porsche 911 Turbo S Leichtbau 1993""Hard to Find""",600000,LEGENDARY,A652
"Porsche 968 Turbo S 1993Autoshow, Wheelspin",520000,RARE,B594
"Porsche 928 GTS 1993Autoshow, Wheelspin",150000,RARE,B563
"Porsche 944 Turbo 1989Autoshow, Wheelspin",30000,RARE,B539
Porsche 959 1987Treasure Car: North Shimanoyama,1875000,TREASURE CAR,A661
"Porsche #185 959 Prodrive Rally Raid 1986Autoshow, Wheelspin, Aftermarket Car",1500000,LEGENDARY,A623
Porsche 911 Turbo 3.3 1982Barn Find: South Ohtani,240000,BARN FIND,B550
"Porsche 911 Carrera RS 1973Autoshow, Wheelspin",1050000,LEGENDARY,C490
Porsche #3 917 LH Forza Edition 1970Wheelspin,1250000,FORZA EDITION,R998
"Porsche #3 917 LH 1970Autoshow, Earn 3,000 points in the ""Car Collection"" category in the Collection Journal",1000000,LEGENDARY,S1776
"Radical RXC Turbo 2015Autoshow, Wheelspin, Aftermarket Car",147000,EPIC,S2842
"Ram 1500 TRX 2024Autoshow, Earn the Yellow Wristband",100000,COMMON,B514
"Reliant Supervan III 1972Autoshow, Wheelspin",39000,COMMON,D100
"Renault Megane R.S. 2018Autoshow, Wheelspin, Aftermarket Car",32000,RARE,B547
"Renault Megane RS 250 2010Autoshow, Wheelspin",14000,COMMON,B538
"Renault Mégane R26.R 2008Autoshow, Wheelspin",58000,RARE,B561
"Renault Clio Williams 1993Autoshow, Wheelspin",30000,COMMON,D400
"Renault 5 Turbo 1980Autoshow, Wheelspin",143000,RARE,C417
"Renault 8 Gordini 1967""Hard to Find""",250000,COMMON,D322
Rimac Nevera 2021Wheelspin,2250000,LEGENDARY,R913
"RIVIAN R1T 2021Autoshow, Wheelspin",56000,EPIC,A607
RJ Anderson #37 Polaris RZR Pro 4 Truck 2021Wheelspin,250000,EPIC,A677
"RJ Anderson #37 Polaris RZR Pro 2 Truck 2016Autoshow, Earn 975 points in the ""Cross Country Rivals"" category in the Collection Journal",120000,EPIC,A674
"Saleen S7 LM 2017""Hard to Find""",1000000,EPIC,S2835
"Schuppan 962CR 1993""Hard to Find""",1950000,EPIC,S1764
"Shelby Cobra 427 S/C 1965Earn 2,700 points in the ""Car Collection"" category in the Collection Journal",3000000,LEGENDARY,B582
"Shelby Cobra Daytona Coupe 1965Autoshow, Wheelspin",20000000,LEGENDARY,B515
"SIERRA Cars RX3 2021Autoshow, Wheelspin",50000,RARE,A635
"SIERRA Cars 700R 2021Autoshow, Wheelspin",75000,RARE,D346
"SIERRA Cars #23 Yokohama ALPHA 2020Autoshow, Wheelspin",65000,EPIC,R926
"SRT Viper GTS 2013Autoshow, Wheelspin, Loyalty Reward",135000,RARE,S1707
Subaru BRZ Forza Edition 2022Aftermarket Car (Sotoyama Ski Resort),500000,FORZA EDITION,A700
"Subaru BRZ 2022Autoshow, Wheelspin",28000,EPIC,B551
"Subaru WRX 2022Autoshow, Wheelspin",25000,EPIC,B538
"Subaru STI S209 2019""Hard to Find""",250000,COMMON,B575
Subaru WRX STI ARX Supercar 2018Earn the Purple wristband,150000,EPIC,S1758
"Subaru WRX STI 2015Autoshow, Wheelspin",27000,COMMON,B555
"Subaru BRZ 2013Autoshow, Wheelspin, Aftermarket Car",25000,COMMON,C463
"Subaru WRX STI 2011Autoshow, Wheelspin",27000,RARE,B547
"Subaru IMPREZA WRX STI 2008Autoshow, Wheelspin, Aftermarket Car",27000,RARE,B539
"Subaru IMPREZA WRX STI 2005Autoshow, Wheelspin, Aftermarket Car",35000,COMMON,B570
"Subaru LEGACY B4 2.0 GT 2005Autoshow, Wheelspin",10000,COMMON,B549
"Subaru IMPREZA WRX STI 2004Autoshow, Wheelspin, Aftermarket Car",30000,COMMON,B552
"Subaru Impreza 22B-STi Version 1998Autoshow, Wheelspin",330000,LEGENDARY,B600
"Subaru SVX 1996Autoshow, Wheelspin, Aftermarket Car",13000,COMMON,C466
"Subaru Vivio RX-R Forza Edition 1994Earn 3,250 points in the ""Horizon Life Events"" category in the Collection Journal",750000,FORZA EDITION,S2900
"Subaru Vivio RX-R 1994Autoshow, Wheelspin, Aftermarket Car",10000,EPIC,D281
"Subaru LEGACY RS 1990Autoshow, Wheelspin, Aftermarket Car",15000,COMMON,C406
"Subaru BRAT GL 1980Autoshow, Wheelspin",20000,COMMON,D159
"Toyota Land Cruiser 2025Autoshow, Wheelspin",70000,RARE,C456
Toyota Prius Prime XSE Premium 2024Autoshow (DLC: Car Pass),0,COMMON,C472
Toyota GR Corolla 2023Autoshow (DLC: Car Pass),45000,RARE,B596
Toyota Camry TRD 2023Autoshow,31000,EPIC,B525
"Toyota GR86 2022Autoshow, Wheelspin, Earn the Yellow Wristband",28000,COMMON,B556
"Toyota GR Yaris 2021Autoshow, Wheelspin, Aftermarket Car",54000,EPIC,B558
"Toyota GR Supra 2020Autoshow, Wheelspin, Aftermarket Car, Earn 1,000 points in ""Discovery"" category in the Collection Journal",45000,RARE,A616
Toyota Tacoma TRD Pro Forza Edition 2019Gifted (DLC: VIP Membership),500000,FORZA EDITION,R998
"Toyota 4Runner TRD Pro 2019Autoshow, Wheelspin",42000,RARE,C421
"Toyota Tacoma TRD Pro 2019Autoshow, Wheelspin",34000,RARE,C409
"Toyota JPN Taxi 2017Autoshow, Wheelspin",25000,COMMON,D248
"Toyota Land Cruiser Arctic Trucks AT37 2016""Hard to Find""",250000,RARE,D332
"Toyota 86 'Stories' 2013Earn 1,800 points in the ""Yuji's Auto"" category in the Collection Journal",250000,LEGENDARY,A685
"Toyota 86 2013Autoshow, Wheelspin",15800,RARE,C460
"Toyota Crown Super Deluxe Taxi 2005Autoshow, Wheelspin",10000,COMMON,D181
"Toyota Celica Sport Specialty II 2003Autoshow, Wheelspin",12000,RARE,C433
"Toyota Altezza RS200 Z EDITION 1999""Hard to Find""",250000,RARE,C461
"Toyota Supra RZ 1998Autoshow, Wheelspin, Aftermarket Car, Earn 250 points in ""Touge & Street Racing"" category in the Collection Journal",60000,RARE,B526
"Toyota Chaser 2.5 Tourer V 1997Autoshow, Earn 2,000 points in the ""Photography"" category in the Collection Journal",15500,RARE,B504
"Toyota Soarer 2.5 GT-T 1997Autoshow, Wheelspin, Earn 250 points in the ""Garages"" category in the Collection Journal",18000,RARE,C491
"Toyota Starlet Glanza V 1996""Hard to Find""",250000,COMMON,C435
Toyota J&J Motorsport Supra WTAC 1995Autoshow (DLC: Time Attack Car Pack),420000,EPIC,S2828
"Toyota MR2 GT 1995Autoshow, Wheelspin, Aftermarket Car",28000,RARE,B522
"Toyota Celica GT-Four ST205 1994Autoshow, Wheelspin, Complete the Prologue",27000,COMMON,C479
"Toyota #1 T100 Baja Truck 1993Autoshow, Wheelspin",400000,LEGENDARY,B584
"Toyota Supra 2.0 GT 1992Autoshow, Wheelspin",28000,RARE,C454
Toyota Celica GT-Four RC ST185 1992Autoshow,30000,RARE,C438
"Toyota Chaser GT Twin Turbo 1991Autoshow, Wheelspin",20000,RARE,C484
"Toyota Sera 1991Autoshow, Wheelspin",11000,RARE,D344
"Toyota MR2 SC 1989""Hard to Find""",250000,RARE,D397
"Toyota Sprinter Trueno GT-APEX Forza Edition 1985Earn 5,000 points in the ""Master Explorer"" category in the Collection Journal",500000,FORZA EDITION,B600
"Toyota Sprinter Trueno GT Apex 1985Autoshow, Wheelspin",30000,EPIC,D376
"Toyota FJ40 1979Autoshow, Wheelspin",103000,COMMON,D157
"Toyota Corolla SR5 1974""Hard to Find""",250000,EPIC,D197
Toyota 2000GT 1969Barn Find: North Ito,1000000,BARN FIND,D377
"Toyota Sports 800 1965Wheelspin, Earn 4,000 points in the ""Regional Mascots"" category in the Collection Journal",250000,RARE,D141
Toyota Sports 800 Fanta Edition 1965Autoshow (Promotional: Fanta),35000,RARE,D141
TVR Griffith 2018Autoshow,250000,RARE,S1729
"TVR Sagaris 2005Autoshow, Wheelspin",115000,RARE,A672
"TVR Cerbera Speed 12 1998""Hard to Find""",750000,EPIC,S1770
"Ultima Evolution Coupe 1020 2015Autoshow, Wheelspin",150000,EPIC,R925
"Volkswagen Golf R 2022Autoshow, Wheelspin",35000,RARE,B548
"Volkswagen Golf R 2021Autoshow, Wheelspin, Aftermarket Car",29000,COMMON,B546
"Volkswagen #34 Volkswagen Andretti Rally Cross Beetle 2017Autoshow, Wheelspin, Aftermarket Car",150000,EPIC,S1764
"Volkswagen Golf R 2014Autoshow, Wheelspin",27000,COMMON,B536
"Volkswagen Scirocco R 2011Autoshow, Wheelspin",15000,RARE,B548
"Volkswagen Golf R 2010Autoshow, Wheelspin",20000,RARE,B526
"Volkswagen Corrado VR6 1995Autoshow, Wheelspin",30000,COMMON,C426
"Volkswagen Golf Gti 16v Mk2 1992Autoshow, Wheelspin",22000,COMMON,D308
"Volkswagen Rallye Golf 1989""Hard to Find""",250000,RARE,C440
"Volkswagen Golf GTI 1983Autoshow, Wheelspin",18000,COMMON,D314
