,Vehicle,Value,Rarity,PI
39,"Audi R8 V10 performance 2020Autoshow, Wheelspin",281000,RARE,S1738
17,"Alumicraft #6165 Trick Truck 2022Autoshow, Wheelspin",300000,EPIC,C485
11,"Alfa Romeo 8C Competizione 2007Autoshow, Wheelspin, Aftermarket Car",312000,EPIC,A635
478,"Noble M600 2010Autoshow, Wheelspin, Aftermarket Car",322000,EPIC,S1793
326,"Lamborghini Huracán STO 2020Autoshow, Wheelspin",325000,LEGENDARY,S1783
292,"Hyundai N Vision 74 2022Autoshow, Wheelspin",325000,RARE,A692
561,"Subaru Impreza 22B-STi Version 1998Autoshow, Wheelspin",330000,LEGENDARY,B600
16,"Alfa Romeo Giulia Sprint GTA Stradale 1965Autoshow, Wheelspin",343000,RARE,D379
308,"Jimco #240 Fastball Racing Spec Trophy Truck 2019Autoshow, Wheelspin",350000,EPIC,B511
173,"Ferrari 430 Scuderia 2007Autoshow, Wheelspin",355000,EPIC,S1702
383,"McLaren 765LT Coupé 2021Autoshow, Wheelspin",358000,EPIC,S2829
410,"Mercedes-Benz SL 65 AMG Black Series 2009Autoshow, Wheelspin",360000,EPIC,A699
321,"Lamborghini Huracán Tecnica 2022Autoshow, Wheelspin",365000,LEGENDARY,S1747
259,"Hennessey Ford F-150 VelociRaptor 6x6 2019Autoshow, Wheelspin",375000,LEGENDARY,B520
184,"Ferrari Dino 246 GT 1969Autoshow, Wheelspin",390000,EPIC,C428
163,"Ferrari 812 Superfast 2017Autoshow, Wheelspin",395000,LEGENDARY,S1780
591,"Toyota #1 T100 Baja Truck 1993Autoshow, Wheelspin",400000,LEGENDARY,B584
266,"Honda Ridgeline Baja Trophy Truck 2015Autoshow, Wheelspin",400000,EPIC,B579
219,"Ford #4 Ford Focus RS 2001Autoshow, Wheelspin",415000,RARE,A639
474,"Nissan Skyline H/T 2000GT-R 1973Autoshow, Wheelspin",416000,EPIC,C407
498,"Porsche 911 GT3 RS 2023Autoshow, Wheelspin",424000,EPIC,S1758
395,"Mercedes-AMG GT Black Series 2021Autoshow, Wheelspin, Aftermarket Car",440000,EPIC,S1782
200,"Ford #2069 Ford Performance Bronco R 2020Autoshow, Wheelspin",450000,EPIC,C441
279,"Honda NSX-R 1992Autoshow, Wheelspin, Aftermarket Car",450000,EPIC,B572
209,"Ford #11 Rockstar F-150 Trophy Truck 2014Autoshow, Wheelspin",450000,EPIC,A613
165,"Ferrari F12tdf 2015Autoshow, Wheelspin",500000,EPIC,S1788
261,"Holden Torana A9X 1977Autoshow, Wheelspin, Aftermarket Car",500000,RARE,C413
169,"Ferrari 458 Speciale 2013Autoshow, Wheelspin",500000,EPIC,S1768
204,"Ford GT 2017Autoshow, Wheelspin",500000,EPIC,S1757
519,"Porsche 968 Turbo S 1993Autoshow, Wheelspin",520000,RARE,B594
297,"Jaguar XJ220S TWR 1993Autoshow, Wheelspin, Aftermarket Car",540000,RARE,S1750
149,"Dodge Charger Daytona HEMI 1969Autoshow, Wheelspin, Earn 1,500 points in the ""Car Collection"" category in the Collection Journal",541000,EPIC,C479
507,"Porsche 911 GT2 RS 2018Autoshow, Wheelspin, Aftermarket Car",550000,EPIC,S2803
298,"Jaguar XJ220 1993Autoshow, Wheelspin",570000,LEGENDARY,A676
154,"Ferrari SF90 Stradale 2020Autoshow, Wheelspin, Aftermarket Car",575000,LEGENDARY,S2851
156,"Ferrari 488 Pista 2019Autoshow, Wheelspin",716000,EPIC,S2803
56,"Audi #2 Audi Sport quattro S1 1986Autoshow, Wheelspin",750000,LEGENDARY,S1726
51,"Audi R8 LMS 2009Autoshow, Wheelspin",900000,RARE,S2810
336,"Lamborghini Murciélago LP 670-4 SV 2010Autoshow, Wheelspin",1000000,EPIC,S1707
525,"Porsche 911 Carrera RS 1973Autoshow, Wheelspin",1050000,LEGENDARY,C490
455,"Nissan NISMO GT-R LM 1995Autoshow, Wheelspin",1100000,LEGENDARY,B544
626,"Zenvo TSR-S 2019Autoshow, Wheelspin",1200000,LEGENDARY,R906
329,"Lamborghini Aventador SVJ 2018Autoshow, Wheelspin",1200000,LEGENDARY,S1794
324,"Lamborghini Essenza SCV12 2020Autoshow, Wheelspin",1500000,LEGENDARY,R911
523,"Porsche #185 959 Prodrive Rally Raid 1986Autoshow, Wheelspin, Aftermarket Car",1500000,LEGENDARY,A623
358,"Lotus Elise GT1 1997Autoshow, Wheelspin, Aftermarket Car",1500000,LEGENDARY,S1709
390,"McLaren P1 2013Autoshow, Wheelspin",1550000,LEGENDARY,S2848
504,"Porsche #70 Porsche Motorsport 935 2019Autoshow, Wheelspin",1600000,LEGENDARY,S2853
416,"Mercedes-Benz 300 SL Coupé 1954Autoshow, Wheelspin",1700000,LEGENDARY,D388
340,"Lamborghini Miura P400 1967Autoshow, Wheelspin",1700000,LEGENDARY,B505
330,"Lamborghini Centenario LP 770-4 2016Autoshow, Wheelspin, Loyalty Reward",1750000,LEGENDARY,S1792
314,"Koenigsegg Agera 2011Autoshow, Wheelspin",1950000,LEGENDARY,S2810
386,"McLaren Speedtail 2019Autoshow, Wheelspin",2000000,LEGENDARY,S2835
171,"Ferrari 599XX 2010Autoshow, Wheelspin",2000000,LEGENDARY,S2840
258,"Hennessey Venom F5 2021Autoshow, Wheelspin, Aftermarket Car",2050000,LEGENDARY,S2870
323,"Lamborghini Countach LPI 800-4 2021Autoshow, Wheelspin",2100000,LEGENDARY,S1773
32,"Aston Martin Vulcan 2016Autoshow, Wheelspin, Loyalty Reward",2300000,LEGENDARY,S2884
353,"Lotus Evija 2020Autoshow, Wheelspin",2450000,LEGENDARY,R937
158,"Ferrari Monza SP2 2019Autoshow, Wheelspin",2500000,LEGENDARY,S1773
164,"Ferrari J50 2017Autoshow, Wheelspin",2500000,RARE,S1772
174,"Ferrari FXX 2005Autoshow, Wheelspin",2500000,LEGENDARY,S2900
325,"Lamborghini Sián Roadster 2020Autoshow, Wheelspin",2500000,LEGENDARY,S1797
24,"Aston Martin Valkyrie 2023Autoshow, Wheelspin",2750000,LEGENDARY,R925
394,"Mercedes-AMG Mercedes-AMG ONE 2021Autoshow, Wheelspin",2800000,LEGENDARY,S2900
30,"Aston Martin Vulcan AMR Pro 2017Autoshow, Wheelspin",3000000,LEGENDARY,S2898
168,"Ferrari LaFerrari 2013Autoshow, Wheelspin",3000000,LEGENDARY,S2857
361,"Maserati MC12 Versione Corsa 2008Autoshow, Wheelspin",3100000,LEGENDARY,R912
296,"Jaguar C-X75 2010Autoshow, Wheelspin",3200000,LEGENDARY,S2810
180,"Ferrari F40 Competizione 1989Autoshow, Wheelspin, Aftermarket Car",3200000,LEGENDARY,R948
315,"Koenigsegg CCGT 2008Autoshow, Wheelspin, Aftermarket Car",3400000,LEGENDARY,S2900
14,"Alfa Romeo 33 Stradale 1968Autoshow, Wheelspin",3500000,LEGENDARY,B593
310,"Koenigsegg Jesko 2020Autoshow, Wheelspin",3500000,LEGENDARY,S2899
183,"Ferrari 512 S 1970Autoshow, Wheelspin",3600000,LEGENDARY,S1774
481,"Pagani Huayra BC Coupe 2016Autoshow, Wheelspin",3600000,LEGENDARY,S2851
332,"Lamborghini Veneno 2013Autoshow, Wheelspin",3950000,LEGENDARY,S2834
516,"Porsche 911 GT1 Strassenversion 1997Autoshow, Wheelspin",4000000,LEGENDARY,S1746
482,"Pagani Zonda Cinque Roadster 2010Autoshow, Wheelspin",4000000,LEGENDARY,S2812
25,"Aston Martin Valkyrie AMR Pro 2022Autoshow, Wheelspin, Earn 2,500 points in the ""Horizon Legend"" category in the Collection Journal",4200000,LEGENDARY,R989
302,"Jaguar D-Type 1956Autoshow, Wheelspin",4300000,LEGENDARY,B506
167,"Ferrari FXX K 2014Autoshow, Wheelspin",4300000,LEGENDARY,R936
177,"Ferrari F50 1995Autoshow, Wheelspin",4500000,LEGENDARY,A678
160,"Ferrari FXX-K Evo 2018Autoshow, Wheelspin",4500000,LEGENDARY,R957
483,"Pagani Zonda R 2009Autoshow, Wheelspin",4750000,LEGENDARY,R918
393,"McLaren F1 1993Autoshow, Wheelspin",5000000,LEGENDARY,S1713
500,"Porsche Mission R 2022Autoshow, Wheelspin, Aftermarket Car",5000000,LEGENDARY,S2865
392,"McLaren F1 GT 1997Autoshow, Wheelspin",5500000,LEGENDARY,S1769
300,"Jaguar Lightweight E-Type 1964Autoshow, Wheelspin",7900000,LEGENDARY,B568
235,"Ford #2 GT40 Mk II 1966Autoshow, Wheelspin",13200000,LEGENDARY,A666
544,"Shelby Cobra Daytona Coupe 1965Autoshow, Wheelspin",20000000,LEGENDARY,B515
187,"Ferrari 250 GTO 1962Autoshow, Wheelspin",48000000,LEGENDARY,C494
415,"Mercedes-Benz 300 SLR 1955Autoshow, Wheelspin",60000000,LEGENDARY,B599
185,"Ferrari #24 Ferrari Spa 330 P4 1967Autoshow, Wheelspin",70000000,LEGENDARY,A684
