Brand,Vehicle,Year,Value,Collection,Car Type,PI,Owned
Lancia,Stratos HF Stradale ,1974,550000,Autoshow,Classic Rally,C 550,
Lancia,Stratos HF Group 4 ,1975,490000,Autoshow (DLC: Blizzard Mountain Expansion),Rally Monsters,A 800,
Lancia,037 Stradale ,1982,375000,Autoshow,Rally Monsters,B 608,
Lancia,Delta S4 Group B ,1985,490000,Autoshow (DLC: Blizzard Mountain Expansion),Rally Monsters,S1 889,
Lancia,Delta S4 ,1986,146000,Autoshow,Rally Monsters,B 640,
Lancia,Delta HF Integrale Evo ,1992,60000,Autoshow,Retro Rally,C 576,
Land Rover,Series III ,1972,20000,Autoshow (DLC: Duracell Car Pack),Offroad,D 100,
Land Rover,Defender 90 ,1997,65000,Autoshow,Offroad,C 524,
Land Rover,Range Rover Supercharged ,2014,102000,Autoshow,Sports Utility Heroes,A 726,
Land Rover,Range Rover Sport SVR ,2015,133000,Autoshow,Sports Utility Heroes,A 733,
Lexus,SC300 ,1997,25000,Autoshow,Asian Sports Cars,C 533,
Lexus,IS F ,2009,72000,Autoshow,Super Saloons,A 730,
Lexus,LFA ,2010,400000,Autoshow,Modern Supercars,S1 820,
Lexus,GS350 F Sport ,2013,66000,Autoshow,Super Saloons,B 647,
Lexus,IS 350 F Sport ,2014,52000,Autoshow,Super Saloons,B 654,
Lexus,RC F ,2015,75000,Autoshow,Super Saloons,A 764,
Local Motors,Rally Fighter ,2014,100000,Autoshow,Extreme Offroad,A 777,
Lola,#6 Penske Sunoco T70 MkIIIB ,1969,850000,Forzathon,Classic Racers,S1 837,
Lotus,Eleven ,1956,140000,Autoshow,Rare Classics,C 510,
Lotus,340R ,2000,40000,Autoshow (DLC: The Smoking Tire Car Pack),Extreme Track Toys,A 714,
Lotus,Esprit V8 ,2002,42000,Autoshow,Retro Supercars,A 744,
Lotus,Elise 111S ,2005,32000,Autoshow,European Sports Cars,B 680,
Lotus,2-Eleven ,2009,70000,Autoshow,Extreme Track Toys,S1 801,
Lotus,Evora S ,2011,43000,Autoshow,European Sports Cars,A 741,
Lotus,Exige S ,2012,85000,Autoshow,European Sports Cars,A 774,
Lotus,3-Eleven ,2016,150000,Autoshow (DLC: Mountain Dew Car Pack),Extreme Track Toys,S1 871,
Maserati,A6GCS/53 Pininfarina Berlinetta ,1953,2000000,Barn Find,Rare Classics,D 398,
Maserati,300 S ,1957,1900000,Autoshow,Classic Racers,B 671,
Maserati,Tipo 61 Birdcage ,1961,2400000,Autoshow,Classic Racers,A 704,
Maserati,MC12 ,2004,1000000,Autoshow,Modern Supercars,S1 875,
Maserati,Gran Turismo S ,2010,156000,Autoshow,GT Cars,A 729,
Maserati,Ghibli S Q4 ,2014,91000,Autoshow,Super Saloons,A 742,
Mazda,Cosmo 110S Series II ,1972,110000,Autoshow,Cult Classics,D 317,
Mazda,Savanna RX-7 ,1990,25000,Autoshow (DLC: Alpinestars Car Pack),Asian Sports Cars,C 588,
Mazda,MX-5 Miata ,1994,25000,Autoshow,Asian Sports Cars,D 486,
Mazda,RX-7 ,1997,35000,Autoshow,Asian Sports Cars,B 643,
Mazda,Mazdaspeed MX-5 ,2005,25000,Autoshow,Asian Sports Cars,C 584,
Mazda,Mazdaspeed 3 ,2010,35000,Autoshow,Hot Hatch,C 599,
Mazda,RX-8 R3 ,2011,27000,Autoshow,Asian Sports Cars,B 614,
Mazda,MX-5 ,2013,26000,Autoshow,Asian Sports Cars,C 573,
Mazda,MX-5 ,2016,35000,Autoshow,Asian Sports Cars,C 599,
McLaren,F1 ,1993,2000000,Autoshow,Retro Supercars,S1 823,
McLaren,F1 GT ,1997,5200000,Autoshow,Retro Supercars,S1 862,
McLaren,P1 ,2013,1350000,Autoshow,Hypercars,S2 981,
McLaren,570S Coupe ,2015,224000,Autoshow,Modern Supercars,S1 846,
McLaren,650S Coupe ,2015,420000,Autoshow,Modern Supercars,S1 887,
Mercedes-AMG,GT S ,2015,157000,Autoshow,Super GT,S1 835,
Mercedes-AMG,C 63 S Coupé ,2016,90000,Autoshow,Super Saloons,A 781,
Mercedes-AMG,C 63 S Coupé Preorder Car ,2016,90000,Autoshow,Super Saloons,A 800,
Mercedes-AMG,GT R ,2017,200000,Autoshow (DLC: Logitech G Car Pack),Super GT,S1 869,
Mercedes-Benz,300 SL Coupe ,1954,1200000,Autoshow,Rare Classics,C 525,
Mercedes-Benz,280 SL ,1967,115000,Autoshow,Classic Racers,D 309,
Mercedes-Benz,300 SEL 6.3 ,1972,35000,Forzathon,Classic Racers,C 545,
Mercedes-Benz,190E 2.5-16 Evolution II ,1990,150000,Autoshow,Retro Saloons,B 628,
Mercedes-Benz,AMG CLK GTR ,1998,2000000,Autoshow,Retro Supercars,S1 844,
Mercedes-Benz,SL 65 AMG Black Series ,2009,210000,Autoshow,Super GT,S1 828,
Mercedes-Benz,SLS AMG ,2011,200000,Autoshow,Super GT,S1 824,
Mercedes-Benz,C 63 AMG Coupé Black Series ,2012,143000,Autoshow,Super Saloons,A 794,
Mercedes-Benz,C 63 AMG Coupé Black Series Horizon Edition ,2012,140000,Wheelspin,Super Saloons,S1 846,
Mercedes-Benz,SLK 55 AMG ,2012,78000,Autoshow,European Sports Cars,A 769,
Mercedes-Benz,A 45 AMG ,2013,65000,Autoshow,Super Hot Hatch,A 715,
Mercedes-Benz,A 45 AMG Horizon Edition ,2013,65000,Wheelspin,Super Hot Hatch,A 773,
Mercedes-Benz,E 63 AMG ,2013,105000,Autoshow,Super Saloons,A 778,
Mercedes-Benz,G 65 AMG ,2013,261000,Autoshow,Sports Utility Heroes,B 680,
Mercury,Coupe ,1949,45000,Autoshow,Rods and Customs,D 148,
Meyers,Manx ,1971,35000,Barn Find,Cult Classics,D 106,
MG,Metro 6R4 ,1986,125000,Autoshow,Rally Monsters,S1 881,
MG,Metro 6R4 Horizon Edition ,1986,175000,Wheelspin,Rally Monsters,S1 900,
MINI,Cooper S ,1965,30000,Autoshow,Classic Rally,D 223,
MINI,Cooper S Horizon Edition ,1965,80000,Wheelspin,Classic Rally,C 549,
MINI,John Cooper Works GP ,2012,38000,Autoshow,Hot Hatch,B 618,
MINI,John Cooper Works GP Horizon Edition ,2012,88000,Wheelspin,Hot Hatch,A 702,
MINI,X-Raid All4 Racing Countryman ,2014,875000,Autoshow,Extreme Offroad,A 743,
Mitsubishi,Galant VR-4 ,1992,25000,Autoshow,Retro Rally,C 584,
Mitsubishi,Eclipse GSX ,1995,25000,Autoshow (DLC: Mountain Dew Car Pack),Asian Sports Cars,C 583,
Mitsubishi,Lancer Evolution VI GSR ,1999,28000,Autoshow,Retro Rally,B 647,
Mitsubishi,Lancer Evolution VIII MR ,2004,31000,Autoshow,Modern Rally,B 665,
Mitsubishi,Lancer Evolution IX MR ,2006,27000,Autoshow,Modern Rally,B 639,
Mitsubishi,Lancer Evolution X GSR ,2008,43000,Autoshow,Modern Rally,B 650,
Morgan,3 Wheeler ,2014,50000,Autoshow (DLC: Logitech G Car Pack),Cult Classics,D 325,
Nissan,Silvia ,1966,50000,Autoshow,Cult Classics,D 186,
Nissan,Fairlady Z 432 ,1969,150000,Autoshow,Cult Classics,D 451,
Nissan,Skyline 2000GT-R ,1971,60000,Autoshow,Cult Classics,D 463,
Nissan,Skyline H/T 2000GT-R ,1973,170000,Barn Find,Cult Classics,C 506,
Nissan,Skyline GTS-R (R31) ,1987,100000,Autoshow (DLC: Rockstar Energy Car Pack),Asian Sports Cars,C 588,
Nissan,Silvia CLUB K's ,1992,25000,Autoshow,Asian Sports Cars,C 577,
Nissan,240SX SE ,1993,25000,Autoshow,Asian Sports Cars,C 508,
Nissan,Skyline GT-R V-Spec ,1993,85000,Barn Find,Asian Sports Cars,B 643,
Nissan,Silvia K's ,1994,25000,Forzathon,Asian Sports Cars,B 611,
Nissan,NISMO GT-R LM ,1995,1100000,Autoshow (DLC: Duracell Car Pack),Asian Sports Cars,A 711,
Nissan,Skyline GT-R V-Spec ,1997,37000,Autoshow,Asian Sports Cars,B 662,
Nissan,R390 ,1998,730000,Autoshow,Retro Supercars,S1 855,
Nissan,Silvia K's AERO ,1998,25000,Autoshow (DLC: Alpinestars Car Pack),Asian Sports Cars,C 595,
Nissan,Silvia Spec-R ,2000,35000,Wheelspin,Asian Sports Cars,C 600,
Nissan,Skyline GT-R V-Spec II ,2002,63000,Autoshow,Asian Sports Cars,A 703,
Nissan,Fairlady Z ,2003,35000,Autoshow,Asian Sports Cars,B 645,
Nissan,370Z ,2010,40000,Autoshow,Asian Sports Cars,A 717,
Nissan,GT-R Black Edition ,2012,105000,Autoshow,Modern Supercars,S1 832,
Nissan,GT-R Black Edition Horizon Edition ,2012,155000,Wheelspin,Modern Supercars,S1 882,
Nissan,#1 NISMO MOTUL AUTECH GT-R ,2015,600000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 970,
Nissan,TITAN Warrior Concept ,2016,50000,Autoshow (DLC: Blizzard Mountain Expansion),Offroad,B 689,
Nissan,GT-R ,2017,132000,Autoshow,Modern Supercars,S1 861,
Noble,M600 ,2010,450000,Autoshow,Hypercars,S2 921,
Oldsmobile,Hurst/Olds 442 ,1969,65000,Autoshow,Classic Muscle,C 530,
Opel,GT ,1968,25000,Autoshow,Cult Classics,D 238,
Opel,Kadett C GT/E ,1979,25000,Autoshow,Retro Hot Hatch,D 320,
Opel,Manta 400 ,1984,100000,Autoshow,Rally Monsters,A 791,
Pagani,Zonda Cinque Roadster ,2009,2100000,Autoshow,Modern Supercars,S2 925,
Pagani,Zonda R ,2010,1700000,Autoshow (DLC: Hot Wheels Expansion),Extreme Track Toys,S2 978,
Pagani,Huayra ,2012,1300000,Autoshow,Hypercars,S2 914,
Pagani,Huayra BC ,2016,1500000,Autoshow (DLC: The Smoking Tire Car Pack),Hypercars,S2 970,
Penhall,The Cholla ,2011,100000,Autoshow,Buggies,B 667,
Peugeot,205 Turbo 16 ,1984,200000,Autoshow,Rally Monsters,B 613,
Plymouth,Fury ,1958,47000,Autoshow,Rods and Customs,C 525,
Plymouth,Cuda 426 HEMI ,1971,160000,Autoshow,Classic Muscle,C 542,
Plymouth,Prowler ,2000,35000,Autoshow,Retro Muscle,C 567,
Polaris,RZR XP 1000 EPS ,2015,25000,Autoshow,Buggies,C 520,
Polaris,RZR XP 1000 EPS Horizon Edition ,2015,75000,Wheelspin,Buggies,C 524,
Polaris,RZR XP 1000 EPS Rockstar Edition ,2015,25000,Autoshow,Buggies,C 520,
Pontiac,GTO ,1965,48000,Autoshow (DLC: Logitech G Car Pack),Classic Muscle,C 515,
Pontiac,GTO Judge ,1969,90000,Autoshow,Classic Muscle,C 524,
Pontiac,Firebird Trans Am SD-455 ,1973,61000,Autoshow,Classic Muscle,C 528,
Pontiac,Firebird Trans Am ,1977,45000,Autoshow,Classic Muscle,D 498,
Pontiac,Firebird Trans Am GTA ,1987,25000,Autoshow,Retro Muscle,C 529,
Porsche,550 Spyder ,1955,600000,Autoshow (DLC: Porsche Car Pack),Classic Racers,C 522,
Porsche,356A Speedster ,1957,300000,Barn Find (Forzathon),Rare Classics,D 160,
Porsche,718 RS 60 ,1960,1000000,Autoshow (DLC: Porsche Car Pack),Classic Racers,B 684,
Porsche,914/6 ,1970,24000,Forzathon,Cult Classics,D 365,
Porsche,911 Carrera RS ,1973,200000,Autoshow (DLC: Porsche Car Pack),Rare Classics,C 589,
Porsche,911 Turbo 3.3 ,1982,38000,Forzathon,Retro Supercars,B 619,
Porsche,959 ,1987,400000,Forzathon,Retro Supercars,A 763,
Porsche,944 Turbo ,1989,12000,Forzathon,European Sports Cars,B 624,
Porsche,928 GTS ,1993,26000,Forzathon,European Sports Cars,B 657,
Porsche,911 GT2 ,1995,550000,Autoshow (DLC: Porsche Car Pack),Retro Supercars,A 735,
Porsche,Carrera GT ,2003,380000,Forzathon,Modern Supercars,S1 858,
Porsche,911 GT3 ,2004,65000,Autoshow (DLC: Porsche Car Pack),Modern Supercars,A 791,
Porsche,#45 Flying Lizard 911 GT3 RSR ,2011,550000,Forzathon,Extreme Track Toys,S2 946,
Porsche,911 GT2 RS ,2012,240000,Forzathon,Modern Supercars,S1 876,
Porsche,911 GT3 RS 4.0 ,2012,200000,Forzathon,Modern Supercars,S1 854,
Porsche,Cayenne Turbo ,2012,110000,Forzathon,Sports Utility Heroes,A 775,
Porsche,911 Turbo S ,2014,150000,Forzathon,Modern Supercars,S1 809,
Porsche,918 Spyder ,2014,850000,Forzathon,Hypercars,S2 969,
Porsche,Cayman GTS ,2015,80000,Forzathon,European Sports Cars,A 763,
Porsche,Macan Turbo ,2015,105000,Forzathon,Sports Utility Heroes,A 711,
Porsche,911 GT3 RS ,2016,210000,Autoshow (DLC: Porsche Car Pack),Extreme Track Toys,S2 929,
Porsche,Cayman GT4 ,2016,85000,Autoshow (DLC: Porsche Car Pack),European Sports Cars,S1 839,
Porsche,Panamera Turbo ,2017,150000,Autoshow (DLC: Porsche Car Pack),Super Saloons,S1 808,
Quartz,Regalia,723,475000,Gifted,GT Cars,A 702,
Radical,RXC Turbo ,2016,330000,Autoshow (DLC: Rockstar Energy Car Pack),Extreme Track Toys,S2 971,
Ram,Runner ,2013,76000,Autoshow,Offroad,B 624,
Ram,Runner Horizon Edition ,2013,76000,Autoshow (DLC: Blizzard Mountain Expansion),Offroad,A 720,
Reliant,Supervan III ,1972,35000,Barn Find,Cult Classics,D 100,
Renault,Alpine A110 1600s ,1973,98000,Autoshow,Classic Rally,C 515,
Renault,5 Turbo ,1980,66000,Autoshow,Rally Monsters,C 519,
Renault,Alpine GTA Le Mans ,1990,40000,Autoshow (DLC: Playseat Car Pack),Cult Classics,B 612,
Renault,Clio Williams ,1993,25000,Autoshow,Retro Hot Hatch,C 565,
Renault,Megane RS 250 ,2010,30000,Autoshow,Super Hot Hatch,A 709,
Renault,Clio RS 200 ,2013,29000,Autoshow,Hot Hatch,C 596,
RJ Anderson,#37 Polaris RZR-Rockstar Energy Pro 2 Truck ,2016,600000,Autoshow (DLC: Blizzard Mountain Expansion),Extreme Offroad,S1 824,
Rolls-Royce,Wraith ,2014,310000,Autoshow,GT Cars,A 750,
Rolls-Royce,Dawn ,2016,340000,Autoshow,GT Cars,A 715,
Saleen,S7 ,2004,388000,Autoshow,Modern Supercars,S1 868,
Shelby,Cobra 427 S/C ,1965,2100000,Autoshow,Rare Classics,B 601,
Shelby,Cobra Daytona Coupe ,1965,8000000,Autoshow,Classic Racers,A 706,
Spania GTA,GTA Spano ,2016,800000,Autoshow (DLC: The Smoking Tire Car Pack),Modern Supercars,S2 927,
Spania GTA,GTA Spano Duracell Edition ,2016,800000,Autoshow (DLC: Duracell Car Pack),Modern Supercars,S2 927,
SRT,Viper GTS ,2013,95000,Autoshow,Modern Muscle,S1 836,
SUBARU,BRAT GL ,1980,25000,Autoshow,Vans and Utility,D 193,
Subaru,BRAT GL Horizon Edition ,1980,75000,Wheelspin,Vans and Utility,C 522,
SUBARU,Legacy RS ,1990,25000,Autoshow,Retro Rally,C 573,
SUBARU,SVX ,1996,25000,Autoshow,Asian Sports Cars,C 592,
SUBARU,Impreza 22B STi ,1998,110000,Autoshow,Retro Rally,B 639,
Subaru,Impreza 22B STi Horizon Edition ,1998,160000,Wheelspin,Retro Rally,A 760,
SUBARU,Impreza WRX STi ,2004,28000,Autoshow,Modern Rally,B 657,
SUBARU,Impreza WRX STi ,2005,33000,Autoshow,Modern Rally,B 677,
SUBARU,Impreza WRX STI ,2008,31000,Autoshow,Modern Rally,B 645,
SUBARU,WRX STI ,2011,33000,Autoshow,Modern Rally,B 651,
SUBARU,BRZ ,2013,32400,Autoshow,Asian Sports Cars,C 580,
Subaru,BRZ Horizon Edition ,2013,82000,Wheelspin,Asian Sports Cars,A 713,
SUBARU,WRX STI ,2015,42000,Autoshow,Modern Rally,B 658,
SUBARU,#199 WRX STI VT15R Rally Car ,2016,300000,Autoshow (DLC: Blizzard Mountain Expansion),Rally Monsters,A 800,
SUBARU,#75 WRX STI VT15R Rally Car ,2016,300000,Forzathon,Rally Monsters,A 800,
Sunbeam,Tiger ,1967,65000,Barn Find,Cult Classics,D 498,
Talbot,Sunbeam Lotus ,1979,25000,Autoshow (DLC: Alpinestars Car Pack),Classic Rally,D 379,
Tamo,Racemo ,2017,600000,Gifted,Asian Sports Cars,C 589,
Terradyne,Gurkha LAPV ,2014,450000,Forzathon,Offroad,C 504,
Tesla,Model S P90D with Ludicrous Mode ,2015,72000,Autoshow,Super Saloons,A 794,
Toyota,Celica GT ,1974,25000,Autoshow,Cult Classics,D 176,
Toyota,Corolla SR5 ,1974,25000,Autoshow,Cult Classics,D 246,
Toyota,FJ40 ,1979,55000,Barn Find,Offroad,D 225,
Toyota,Sprinter Trueno GT Apex ,1985,25000,Autoshow,Asian Sports Cars,C 544,
Toyota,Celica GT-Four RC ST185 ,1992,25000,Autoshow,Retro Rally,C 597,
Toyota,Supra 2.0 GT Twin Turbo ,1992,30000,Autoshow (DLC: Logitech G Car Pack),Asian Sports Cars,C 579,
Toyota,Celica GT-Four ST205 ,1994,25000,Autoshow,Retro Rally,B 607,
Toyota,Supra RZ ,1998,38000,Autoshow,Asian Sports Cars,B 693,
Toyota,Supra RZ Horizon Edition ,1998,88000,Wheelspin,Asian Sports Cars,A 779,
Toyota,Hilux Arctic Trucks AT38 ,2007,55000,Autoshow (DLC: Hot Wheels Expansion),Extreme Offroad,B 647,
Toyota,GT86 ,2013,28800,Autoshow,Asian Sports Cars,C 580,
TVR,Sagaris ,2005,86000,Autoshow,European Sports Cars,S1 813,
Ultima,GTR 720 ,2012,150000,Autoshow,Extreme Track Toys,S2 964,
Ultima,Evolution Coupe 1020 ,2015,130000,Autoshow (DLC: VIP),Extreme Track Toys,S2 998,
Vauxhall,Lotus Carlton ,1990,70000,Autoshow,Retro Saloons,B 666,
Vauxhall,Astra VXR ,2012,25000,Autoshow,Super Hot Hatch,B 648,
Vauxhall,Corsa VXR ,2016,28000,Autoshow (DLC: Playseat Car Pack),Hot Hatch,C 589,
Volvo,123GT ,1967,25000,Autoshow,Cult Classics,D 184,
Volvo,1800E ,1972,36000,Barn Find,Cult Classics,D 314,
Volvo,242 Turbo Evolution ,1983,45000,Autoshow (DLC: Duracell Car Pack),Classic Rally,C 512,
Volvo,850 R ,1997,25000,Autoshow,Retro Saloons,C 564,
Volvo,S60 Polestar ,2015,72000,Autoshow,Super Saloons,B 693,
Volvo,V60 Polestar ,2015,62000,Autoshow (DLC: Rockstar Energy Car Pack),Super Saloons,A 705,
W Motors,Lykan HyperSport ,2016,3400000,Autoshow,Hypercars,S2 919,
Zenvo,ST1 ,2016,1000000,Autoshow (DLC: Hot Wheels Expansion),Hypercars,S2 924,
