Brand,Vehicle,Year, Value ,Collection,Rarity,PI,Owned
Ford,De Luxe Coupe ,1940," 44,000 ","Autoshow, Wheelspin",COMMON,D 130,
Ford,Super Deluxe Station Wagon ,1946," 250,000 ","""Hard to Find""",COMMON,D 124,0
Ford,Anglia 105E ,1959," 20,000 ","Autoshow, Wheelspin",COMMON,D 100,
Ford,GT40 Mk I ,1964," 11,000,000 ",Car Collector: Ford,LEGENDARY,A 754,
Ford,F-100 ,1965," 36,000 ",Barn find,LEGENDARY,D 302,
Ford,Mustang GT Coupe ,1965," 46,000 ","Autoshow, Wheelspin",RARE,D 499,
Ford,Transit ,1965," 25,000 ","Autoshow, Wheelspin",COMMON,D 100,
Ford,#2 GT40 Mk II Le Mans ,1966," 11,000,000 ","Autoshow, Wheelspin",LEGENDARY,A 771,
Ford,Lotus Cortina ,1966," 50,000 ","Autoshow, Wheelspin",COMMON,D 389,
Ford,Racing Escort Mk1 ,1967," 500,000 ",Barn find,LEGENDARY,B 636,
Ford,Mustang GT 2+2 Fastback ,1968," 50,000 ",Barn find,LEGENDARY,D 498,
Ford,Mustang Boss 302 ,1969," 230,000 ","Autoshow, Wheelspin",RARE,C 581,
Ford,GT70 ,1970," 150,000 ","Autoshow, Wheelspin",RARE,B 671,
Ford,Mustang Mach 1 ,1971," 250,000 ",Midnight Battle #1,EPIC,C 546,
Ford,Falcon XA GT-HO ,1972," 80,000 ","Autoshow, Wheelspin, ""Playing My Part"" accolade",RARE,B 624,
Ford,Capri RS3100 ,1973," 55,000 ","Autoshow, Wheelspin",RARE,D 497,
Ford,Escort RS1600 ,1973," 73,000 ","Autoshow, Wheelspin",RARE,D 476,
Ford,XB Falcon GT ,1973," 250,000 ","""Hard to Find""",RARE,C 532,
Ford,Bronco ,1975," 38,000 ","Autoshow, Wheelspin",COMMON,D 421,
Ford,#5 Escort RS1800 MKII ,1977," 300,000 ","Autoshow, Wheelspin",EPIC,B 662,
Ford,Escort RS1800 ,1977," 88,000 ","Autoshow, Wheelspin",RARE,D 477,
Ford,Fiesta XR2 ,1981," 25,000 ",Wheelspin,EPIC,D 369,
Ford,RS200 Evolution ,1985," 260,000 ","Autoshow, Wheelspin",EPIC,S1 808,
Ford,Escort RS Turbo ,1986," 25,000 ","Autoshow, Wheelspin",COMMON,C 516,
Ford,F-150 XLT Lariat ,1986," 250,000 ","""Hard to Find""",COMMON,D 357,0
Ford,Mustang SVO ,1986," 15,000 ",Autoshow (DLC: Car Pass),COMMON,C 525,
Ford,Sierra Cosworth RS500 ,1987," 66,000 ","Autoshow, Wheelspin",RARE,B 604,
Ford,Escort RS Cosworth ,1992," 66,000 ","Autoshow, Wheelspin",RARE,C 565,
Ford,SVT Cobra R ,1993," 28,000 ","Autoshow, Wheelspin",COMMON,C 539,
Ford,Supervan 3 ,1994," 500,000 ","Autoshow, Wheelspin",EPIC,S1 820,
Ford,Supervan 3 'Donut Media Edition' ,1994," 500,000 ","""Under 3 Minutes or it's Free!"" accolade",DONUT EDITION,S1 900,
Ford,Mustang SVT Cobra R ,1995," 250,000 ","""Hard to Find""",COMMON,B 625,0
Ford,Racing Puma ,1999," 20,000 ","Autoshow, Wheelspin",RARE,C 514,
Ford,Racing Puma Forza Edition ,1999," 500,000 ",Gifted (DLC: VIP Membership),FORZA EDITION,S1 900,
Ford,SVT Cobra R ,2000," 55,000 ","Autoshow, Wheelspin",COMMON,B 648,
Ford,#4 Ford Focus RS ,2001," 200,000 ","Expedition: ""Horizon Badlands Expedition"", Autoshow (DLC: Rally Adventure)",RARE,A 749,
Ford,F-150 SVT Lightning ,2003," 20,000 ",Autoshow (DLC: Car Pass),COMMON,C 585,
Ford,Focus RS ,2003," 30,000 ","Autoshow, Wheelspin",COMMON,C 593,
Ford,Mustang SVT Cobra ,2003," 250,000 ","""Hard to Find""",COMMON,B 639,0
Ford,GT ,2005," 300,000 ",Wheelspin,EPIC,A 786,
Ford,Focus RS ,2009," 25,000 ","Autoshow, Wheelspin",COMMON,B 660,
Ford,Crown Victoria Police Interceptor ,2010," 25,000 ","Autoshow, Wheelspin",COMMON,D 462,
Ford,F-150 SVT Raptor ,2011," 42,000 ","Autoshow, Wheelspin",RARE,C 518,
Ford,Transit SuperSportVan ,2011," 50,000 ","Autoshow, Wheelspin",RARE,D 347,
Ford,Shelby GT500 ,2013," 115,000 ","Autoshow, Wheelspin",RARE,A 756,
Ford,#11 Rockstar F-150 Trophy Truck ,2014," 500,000 ","Autoshow, Wheelspin",EPIC,A 731,0
Ford,Fiesta ST ,2014," 25,000 ","Autoshow, Wheelspin",COMMON,B 607,
Ford,FPV Limited Edition Pursuit Ute ,2014," 50,000 ","Autoshow, Wheelspin",COMMON,B 685,
Ford,Ranger T6 Rally Raid ,2014," 250,000 ","Autoshow, Wheelspin, ""Success Kid"" accolade",EPIC,B 643,
Ford,Falcon GT F 351 ,2015," 60,000 ","Autoshow, Wheelspin",COMMON,A 718,
Ford,#66 GTLM Le Mans ,2016," 650,000 ","""Hard to Find""",EPIC,S2 910,
Ford,Shelby GT350R ,2016," 75,000 ","Autoshow, Wheelspin",RARE,S1 815,
Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta ,2017," 500,000 ",Wheelspin,EPIC,S1 860,
Ford,"#25 ""Brocky"" Ultra4 Bronco RTR ",2017," 500,000 ",Autoshow,EPIC,A 748,
Ford,F-150 Raptor ,2017," 63,000 ","Autoshow, Wheelspin",COMMON,C 559,
Ford,Focus RS ,2017," 59,000 ","Autoshow, Wheelspin, ""First Few Miles"" accolade",EPIC,A 702,
Ford,GT ,2017," 400,000 ","Autoshow, ""To The Zoom!"" accolade",EPIC,S1 863,
Ford,GT 'OPI Edition' ,2017," 400,000 ",Gifted (Promotional: OPI),EPIC,S1 900,-
Ford,M-Sport Fiesta RS ,2017," 500,000 ","Autoshow, Wheelspin, ""Lucha de Carreteras!"" accolade",EPIC,S1 808,
Ford,#25 Mustang RTR ,2018," 500,000 ","Autoshow, Wheelspin",EPIC,S1 834,0
Ford,#88 Mustang RTR ,2018," 500,000 ","Autoshow, Wheelspin",EPIC,S1 834,0
Ford,Mustang GT ,2018," 40,000 ","Autoshow, Wheelspin",COMMON,A 756,
Ford,Mustang RTR Spec 5 ,2018," 105,000 ","Autoshow, Wheelspin",RARE,A 757,
Ford,Ranger Raptor ,2019," 58,000 ",Wheelspin,EPIC,D 451,
Ford,"#2069 Ford Bronco R ""Welcome Pack"" ",2020," 250,000 ",Autoshow (DLC: Welcome Pack),COMMON,A 800,
Ford,#2069 Ford Performance Bronco R ,2020," 250,000 ","Autoshow, Wheelspin",EPIC,C 544,
Ford,Mustang Shelby GT500 ,2020," 100,000 ","Autoshow, ""'D' Class Elite"" accolade",RARE,S1 836,
Ford,Super Duty F-450 DRW Platinum ,2020," 70,000 ","Autoshow, Wheelspin",COMMON,D 466,
Ford,Bronco ,2021," 55,000 ",Autoshow,RARE,C 560,
Ford,Mustang Mach-E 1400 ,2021," 750,000 ","Horizon Story: Complete ""Drift Club Mexico""",LEGENDARY,S1 900,
Ford,Bronco Raptor ,2022," 250,000 ","""Dedication to the Cause"" accolade",EPIC,C 588,0
Ford,F-150 Lightning Platinum ,2022," 100,000 ","Grit Reapers: Win ""Horizon Badlands Goliath"", Autoshow (DLC: Rally Adventure)",EPIC,B 607,
Ford,Focus ST ,2022," 250,000 ","""Hard to Find""",COMMON,A 707,
Ford,Supervan 4 ,2022," 2,000,000 ",Autoshow (DLC: Acceleration Car Pack),EPIC,S2 953,-
Ford,F-150 Raptor R ,2023," 250,000 ","""Hard to Find""",EPIC,B 689,0
Ford,Fiesta ST ,2023," 250,000 ","""Hard to Find""",COMMON,B 615,
Ford,Mustang Dark Horse ,2024," 250,000 ","""Hard to Find""",EPIC,A 772,
Ford,Mustang GT ,2024," 250,000 ","""Hard to Find""",EPIC,A 739,0
Formula Drift,#98 BMW 325i ,1989," 300,000 ","Autoshow, Wheelspin",EPIC,S1 813,
Formula Drift,#34 Toyota Supra MkIV ,1995," 300,000 ",Autoshow (DLC: Formula Drift Pack),EPIC,S1 845,
Formula Drift,#51 Donut Media Nissan 240SX ,1996," 250,000 ","""Sweet Drift"" accolade",EPIC,S1 822,
Formula Drift,#777 Nissan 240SX ,1997," 300,000 ","Autoshow, Wheelspin, ""The Plot Thickens"" accolade",EPIC,S1 826,
Formula Drift,#43 Dodge Viper SRT10 ,2006," 300,000 ","Autoshow, Wheelspin, ""Drift Royalty"" accolade",EPIC,S1 826,
Formula Drift,#117 599 GTB Fiorano ,2007," 500,000 ","Autoshow, Wheelspin",EPIC,S1 852,
Formula Drift,#99 Mazda RX-8 ,2009," 300,000 ",Autoshow (DLC: Formula Drift Pack),EPIC,S1 829,
Formula Drift,#777 Chevrolet Corvette ,2013," 300,000 ","Autoshow, Wheelspin",EPIC,S1 848,
Formula Drift,#13 Ford Mustang ,2015," 300,000 ","Autoshow, Wheelspin",EPIC,S1 825,
Formula Drift,#530 HSV Maloo Gen-F ,2016," 300,000 ","Autoshow, Wheelspin",EPIC,S1 808,
Formula Drift,#357 Chevrolet Corvette Z06 ,2017," 150,000 ",Autoshow (DLC: Formula Drift Pack),EPIC,S1 835,
Formula Drift,#64 Nissan 370Z ,2018," 300,000 ","Autoshow, Wheelspin, ""Moar Skillz!"" accolade",EPIC,S1 843,
Formula Drift,#411 Toyota Corolla Hatchback ,2019," 300,000 ",Autoshow (DLC: Formula Drift Pack),EPIC,S1 840,
Formula Drift,#151 Toyota GR Supra ,2020," 300,000 ",Autoshow (DLC: Formula Drift Pack),EPIC,S1 863,
Formula Drift,#91 BMW M2 ,2020," 300,000 ",Autoshow (DLC: Formula Drift Pack),EPIC,S1 839,
Formula Drift,#64 Forsberg Racing Nissan Z ,2023," 300,000 ","""Hard to Find""",EPIC,S1 854,1
Forsberg Racing,Nissan 'Gold Leader' Datsun 280Z ,1975," 100,000 ",Autoshow (DLC: Formula Drift Pack),RARE,A 791,
Forsberg Racing,Toyota Gumout 2JZ Camry Stock Car ,2010," 400,000 ",Autoshow (DLC: Formula Drift Pack),RARE,S1 900,
Forsberg Racing,Nissan 'SafariZ' 370Z Safari Rally Tribute ,2014," 40,000 ",Autoshow (DLC: Car Pass),EPIC,A 720,
Forsberg Racing,Nissan 'Altimaniac' ,2021," 300,000 ",Autoshow (DLC: Horizon Racing Car Pack),EPIC,S1 881,-
Funco Motorsports,F9 ,2018," 500,000 ","Wheelspin, ""Unlimited Prowess!"" accolade",EPIC,S1 821,
Ginetta,G10 RM ,2019," 500,000 ",Autoshow (DLC: Acceleration Car Pack),EPIC,A 769,-
GMC,Jimmy ,1970," 75,000 ",Barn find,LEGENDARY,C 521,
GMC,Vandura G-1500 ,1983," 25,000 ","Autoshow, Wheelspin",COMMON,D 226,
GMC,Syclone ,1991," 250,000 ","""Hard to Find""",EPIC,C 548,0
GMC,Typhoon ,1992," 250,000 ","""Hard to Find""",EPIC,C 538,0
GMC,"""Barbie Movie"" HUMMER EV Pickup ",2022," 250,000 ",Autoshow,EPIC,A 718,
GMC,HUMMER EV Pickup ,2022," 250,000 ","""Hard to Find""",EPIC,A 718,0
Gordon Murray Automotive,T.50 ,2022," 2,840,000 ","""Hard to Find""",LEGENDARY,S2 936,0
HDT,VK Commodore Group A ,1985," 250,000 ","""Hard to Find""",RARE,C 550,
Hennessey,Venom GT ,2012," 1,200,000 ","Autoshow, Wheelspin",LEGENDARY,S2 911,
Hennessey,Camaro Exorcist ,2019," 250,000 ","""A New Era"" accolade",LEGENDARY,S1 857,
Hennessey,VelociRaptor 6x6 ,2019," 350,000 ","Autoshow, Wheelspin",LEGENDARY,B 634,
Hennessey,Venom F5 ,2021," 3,000,000 ","HW Academy: ""Fresh Orange Routes"", Autoshow (DLC: Hot Wheels)",LEGENDARY,S2 964,0
Hennessey,Mammoth 1000 6x6 TRX ,2022," 450,000 ","""Starting the Journey"" accolade",LEGENDARY,B 697,0
Holden,HQ Monaro GTS 350 ,1973," 75,000 ","Autoshow, Wheelspin",COMMON,C 525,
Holden,Sandman HQ Panelvan ,1974," 55,000 ","Autoshow, Wheelspin",COMMON,C 501,
Holden,Torana A9X ,1977," 130,000 ","Autoshow, Wheelspin",RARE,C 517,
Honda,Civic RS ,1974," 25,000 ",Autoshow,COMMON,D 368,
Honda,Civic CRX Mugen ,1984," 40,000 ",Midnight Battle 2,EPIC,D 499,0
Honda,CR-X SiR ,1991," 20,000 ",Autoshow,COMMON,C 534,
Honda,NSX-R ,1992," 90,000 ","Autoshow, Wheelspin",EPIC,B 691,
Honda,Prelude Si ,1994," 20,000 ",Autoshow,COMMON,C 521,
Honda,Civic Type R ,1997," 25,000 ",Autoshow,COMMON,C 553,
Honda,S2000 ,2003," 25,000 ","Autoshow, Wheelspin",COMMON,B 630,
Honda,Civic Type R ,2004," 25,000 ",Autoshow,COMMON,C 600,
Honda,NSX-R ,2005," 150,000 ","Autoshow, Wheelspin, ""Built for Speed"" accolade",EPIC,B 691,
Honda,NSX-R GT ,2005," 500,000 ","""Hard to Find""",EPIC,A 725,1
Honda,Civic Type R ,2007," 20,000 ","Autoshow, ""Fast Track"" accolade",COMMON,C 574,
Honda,S2000 CR ,2009," 25,000 ","Autoshow, Wheelspin",COMMON,B 634,
Honda,Ridgeline Baja Trophy Truck ,2015," 500,000 ","""Hard to Find""",EPIC,A 703,0
Honda,Civic Coupe ,2016," 155,000 ","""Hard to Find""",EPIC,S1 861,
Honda,Civic Type R ,2016," 38,000 ",Autoshow,COMMON,B 699,
Honda,Civic Type R ,2018," 59,000 ",Autoshow,RARE,A 727,
Hoonigan,Chevrolet Bel Air ,1955," 76,000 ","Autoshow, Wheelspin, ""The Odd Chance"" accolade",RARE,B 621,
Hoonigan,"Ford ""Hoonicorn"" Mustang ",1965," 500,000 ","Autoshow, Wheelspin",EPIC,S2 951,
Hoonigan,Gymkhana 10 Ford F-150 'Hoonitruck' ,1977," 500,000 ","Autoshow, Wheelspin",EPIC,S1 896,
Hoonigan,Gymkhana 10 Ford Hoonicorn Mustang ,1965," 500,000 ","""Hard to Find""",EPIC,S2 952,0
Hoonigan,Chevrolet Napalm Nova ,1972," 50,000 ","Autoshow, Wheelspin",RARE,A 731,
Hoonigan,Volkswagen Baja Beetle Class 5/1600 'Scumbug' ,1973," 300,000 ","Horizon Raptors: Win ""Cascade Fuerte"", Autoshow (DLC: Rally Adventure)",RARE,C 524,
Hoonigan,Ford Escort RS1800 ,1978," 300,000 ","Autoshow, Wheelspin",EPIC,S1 820,
Hoonigan,Ford RS200 Evolution ,1986," 500,000 ","Autoshow, Wheelspin",EPIC,S2 904,
Hoonigan,Gymkhana 10 Ford Escort Cosworth Group A ,1991," 500,000 ","Autoshow, Wheelspin",EPIC,S1 862,0
Hoonigan,Rauh-Welt Begriff Porsche 911 Turbo ,1991," 160,000 ",Car Mastery: 1995 Porsche 911 GT2,RARE,S1 811,
Hoonigan,Mazda RX-7 Twerkstallion ,1992," 50,000 ",Car Mastery: 1990 Mazda Savanna RX-7,RARE,A 799,
Hoonigan,"Ford Escort Cosworth WRC ""Cossie V2"" ",1994," 500,000 ","Autoshow, ""On a Wing and a Prayer"" Showcase reward",EPIC,A 783,
Hoonigan,Gymkhana 10 Ford Focus RS RX ,2016," 500,000 ","Wheelspin, ""Hoarder"" accolade",EPIC,S1 864,
Hoonigan,Gymkhana 9 Ford Focus RS RX ,2016," 500,000 ","""Hard to Find""",LEGENDARY,S1 863,1
Hot Wheels,Ford F-5 Dually Custom Hot Rod ,1949," 250,000 ","HW Academy: ""Chapter 2: The Iconic Orange Track"" (DLC: Hot Wheels), Wheelspin",LEGENDARY,B 630,
Hot Wheels,Nash Metropolitan Custom ,1957," 250,000 ","HW Academy: ""Chapter 1: The Beginning"" (DLC: Hot Wheels), Wheelspin",LEGENDARY,B 631,
Hot Wheels,Twin Mill ,1969," 110,000 ",Wheelspin,LEGENDARY,A 798,0
Hot Wheels,Pontiac Firebird Trans Am Custom ,1970," 300,000 ","""Hard to Find""",LEGENDARY,S1 894,0
Hot Wheels,Deora II ,2000," 500,000 ","HW Academy: ""Here We Pro"", Autoshow (DLC: Hot Wheels)",LEGENDARY,A 800,
Hot Wheels,Ford Mustang ,2005," 300,000 ","HW Academy: ""Chapter 5: Hot Wheels Today"" (DLC: Hot Wheels), Wheelspin",LEGENDARY,S1 819,
Hot Wheels,Bone Shaker ,2011," 150,000 ","Autoshow, Wheelspin, ""Reach for the Stars"" accolade",LEGENDARY,A 790,
Hot Wheels,Bad to the Blade ,2012," 200,000 ","HW Academy: ""Time to Meet the Elite"", Autoshow (DLC: Hot Wheels)",EPIC,S2 998,
Hot Wheels,Rip Rod ,2012," 300,000 ","HW Academy: ""Chapter 3: The Snake & The Mongoose"" (DLC: Hot Wheels), Wheelspin",LEGENDARY,A 715,
Hot Wheels,Baja Bone Shaker ,2013," 150,000 ","HW Academy: ""Hot Wheels Expedition"", Autoshow (DLC: Hot Wheels)",LEGENDARY,B 700,
Hot Wheels,2JetZ ,2018," 250,000 ","HW Academy: ""Chapter 4: Treasure Hunting"" (DLC: Hot Wheels), Wheelspin",LEGENDARY,S1 854,
HSV,GEN-F GTS ,2014," 75,000 ","Autoshow, Wheelspin",RARE,A 721,
HSV,Limited Edition Gen-F GTS Maloo ,2014," 62,000 ","Autoshow, Wheelspin",COMMON,A 742,
Hummer,H1 Alpha ,2006," 112,000 ","Autoshow, Wheelspin",RARE,D 354,
Hyundai,Veloster N ,2019," 30,000 ","Autoshow, Wheelspin",EPIC,B 645,
Hyundai,i30 N ,2020," 250,000 ","""Hard to Find""",RARE,B 670,
Hyundai,#98 Bryan Herta Autosport Elantra N ,2021," 250,000 ","""Hard to Find""",RARE,A 800,
Hyundai,IONIQ6 ,2022," 250,000 ","""Hard to Find""",RARE,B 686,
Hyundai,Kona N ,2022," 250,000 ","""Hard to Find""",RARE,B 684,
Hyundai,N Vision 74 ,2022," 250,000 ","""Hard to Find""",RARE,A 799,0
Hyundai,IONIQ 5 N ,2023," 250,000 ","""Hard to Find""",RARE,A 756,
Infiniti,Q60 Concept ,2015," 50,000 ","Autoshow, Wheelspin",COMMON,A 735,
International,Scout 800A ,1970," 40,000 ","Autoshow, Wheelspin",COMMON,D 384,
Italdesign,Zerouno ,2018," 2,400,000 ",Autoshow,LEGENDARY,S1 869,1
Italdesign,DaVinci Concept ,2019," 150,000 ",Autoshow (DLC: Italian Exotics Car Pack),RARE,S1 809,-
Jaguar,C-Type ,1953," 5,000,000 ",Autoshow,LEGENDARY,C 599,0
Jaguar,D-Type ,1956," 22,000,000 ","Autoshow, Wheelspin, ""Sold Out"" accolade",LEGENDARY,B 630,0
Jaguar,Mk II 3.8 ,1959," 80,000 ",Autoshow,EPIC,D 448,
Jaguar,E-type ,1961," 150,000 ",Autoshow,EPIC,C 525,
Jaguar,Lightweight E-Type ,1964," 7,500,000 ",Autoshow,LEGENDARY,B 688,
Jaguar,XJ13 ,1966," 18,000,000 ",Autoshow (DLC: Car Pass),RARE,A 779,
Jaguar,Sport XJR-15 ,1991," 500,000 ",Barn find,LEGENDARY,S1 828,
Jaguar,XJ220 ,1993," 350,000 ",Wheelspin,LEGENDARY,A 786,
Jaguar,XJ220S TWR ,1993," 400,000 ",Autoshow (DLC: Car Pass),RARE,S1 848,
Jaguar,C-X75 ,2010," 1,500,000 ",Autoshow,LEGENDARY,S1 880,
Jaguar,XKR-S ,2012," 100,000 ",Autoshow,RARE,A 756,
Jaguar,F-TYPE R Coupé ,2015," 110,000 ",Wheelspin,EPIC,A 777,
Jaguar,XE-S ,2015," 57,000 ",Autoshow,COMMON,B 671,
Jaguar,XFR-S ,2015," 110,000 ",Autoshow,RARE,A 728,
Jaguar,XKR-S GT ,2015," 250,000 ","""Hard to Find""",EPIC,A 778,0
Jaguar,F-TYPE Project 7 ,2016," 190,000 ","Wheelspin, ""The Serious 7"" accolade",EPIC,A 786,0
Jaguar,F-PACE S ,2017," 55,000 ",Autoshow,COMMON,B 674,
Jaguar,I-Pace ,2018," 87,000 ","Autoshow, Wheelspin, ""Unbeatable Street Racing"" accolade",RARE,A 705,
Jaguar,XE SV Project 8 ,2019," 200,000 ",Autoshow (DLC: European Automotive Car Pack),RARE,S1 830,-
Jaguar,F-TYPE SVR ,2020," 250,000 ","""Hard to Find""",RARE,S1 806,0
Jeep,CJ5 Renegade ,1976," 60,000 ","Autoshow, Wheelspin",COMMON,D 431,
Jeep,Wrangler Rubicon ,2012," 50,000 ","Autoshow, Wheelspin",COMMON,D 463,
Jeep,Grand Cherokee SRT ,2014," 80,000 ","Autoshow, Wheelspin",COMMON,B 680,
Jeep,Trailcat ,2016," 75,000 ","Autoshow, Wheelspin, ""Born to Win"" accolade",RARE,A 744,
Jeep,Grand Cherokee Trackhawk ,2018," 73,000 ","Autoshow, Wheelspin",COMMON,A 749,
Jeep,Gladiator Rubicon ,2020," 45,000 ","Autoshow, Wheelspin",COMMON,D 456,
Jimco,#240 Fastball Racing Spec Trophy Truck ,2019," 350,000 ","Apex Predators: Win ""The Apex Run"", Autoshow (DLC: Rally Adventure)",EPIC,B 623,
Jimco,#179 Hammerhead Class 1 ,2020," 150,000 ","Grit Reapers: Win ""Cráteres Secos"", Autoshow (DLC: Rally Adventure)",RARE,A 763,
Kia,EV6 GT ,2023," 250,000 ","""Hard to Find""",RARE,A 719,
Koenigsegg,CC8S ,2002," 400,000 ","Autoshow, Wheelspin",EPIC,S1 846,
Koenigsegg,CCX ,2006," 600,000 ","""Hard to Find""",LEGENDARY,S1 870,0
Koenigsegg,CCGT ,2008," 1,000,000 ",Wheelspin,LEGENDARY,S2 965,0
Koenigsegg,Agera ,2011," 1,500,000 ","""Hard to Find""",LEGENDARY,S1 895,0
Koenigsegg,One:1 ,2015," 2,800,000 ","Autoshow, Wheelspin",LEGENDARY,S2 983,
Koenigsegg,Regera ,2016," 1,900,000 ","Autoshow, Wheelspin, ""The Completionist"" accolade",LEGENDARY,S2 966,
Koenigsegg,Agera RS ,2017," 2,000,000 ","Autoshow, Wheelspin",LEGENDARY,S2 980,0
Koenigsegg,Jesko ,2020," 2,800,000 ","Autoshow, Wheelspin, ""Cinema Irréaliste"" accolade",LEGENDARY,S2 971,
KTM,X-Bow R ,2013," 105,000 ","Autoshow, Wheelspin",RARE,S1 802,
KTM,X-Bow GT4 ,2018," 400,000 ","""Hard to Find""",EPIC,S1 845,0
KTM,X-Bow GT2 ,2020," 500,000 ",Autoshow (DLC: Super Speed Car Pack),EPIC,S2 931,-
Lamborghini,Miura P400 ,1967," 1,000,000 ","Autoshow, Wheelspin",LEGENDARY,B 625,
Lamborghini,Espada 400 GT ,1973," 110,000 ",Autoshow (DLC: Car Pass),RARE,C 597,
Lamborghini,LM 002 ,1986," 180,000 ","Autoshow, Wheelspin",EPIC,C 562,
Lamborghini,Countach LP5000 QV ,1988," 220,000 ","Autoshow, Wheelspin",EPIC,A 735,
Lamborghini,Diablo SV ,1997," 174,000 ","Autoshow, Wheelspin",EPIC,A 763,
Lamborghini,Diablo GTR ,1999," 1,000,000 ",Car Mastery: 1997 Lamborghini Diablo SV,EPIC,S1 881,
Lamborghini,Reventón ,2008," 1,375,000 ",Car Collector: Lamborghini,LEGENDARY,S1 817,
Lamborghini,Murciélago LP 670-4 SV ,2010," 500,000 ","Wheelspin, Midnight Battle 4",EPIC,S1 818,
Lamborghini,Gallardo LP 570-4 Superleggera ,2011," 280,000 ","""Mogul"" accolade",EPIC,S1 814,
Lamborghini,Sesto Elemento ,2011," 2,500,000 ","Autoshow, Wheelspin",LEGENDARY,S2 936,-
Lamborghini,Sesto Elemento Forza Edition ,2011," 2,750,000 ",Wheelspin,FORZA EDITION,S2 998,
Lamborghini,Aventador J ,2012," 2,700,000 ","""Hard to Find""",EPIC,S1 839,
Lamborghini,Aventador LP700-4 ,2012," 380,000 ","Autoshow, Wheelspin",EPIC,S1 847,
Lamborghini,Gallardo LP 570-4 Spyder Performante ,2012," 280,000 ","""Hard to Find""",EPIC,A 797,
Lamborghini,Veneno ,2013," 3,000,000 ","Autoshow, Wheelspin",LEGENDARY,S2 910,
Lamborghini,Huracán LP 610-4 ,2014," 240,000 ","Autoshow, Wheelspin",EPIC,S1 838,
Lamborghini,Aventador Superveloce ,2016," 480,000 ","Autoshow, Wheelspin, ""Eliminating Spree"" accolade",EPIC,S1 872,
Lamborghini,Centenario LP 770-4 ,2016," 2,300,000 ","Autoshow, Wheelspin",LEGENDARY,S1 884,
Lamborghini,#63 Squadra Corse Huracán Super Trofeo Evo ,2018," 400,000 ",Autoshow (DLC: Italian Exotics Car Pack),LEGENDARY,S2 906,-
Lamborghini,Aventador SVJ ,2018," 500,000 ","""Hard to Find""",LEGENDARY,S1 889,0
Lamborghini,Huracán Performante ,2018," 275,000 ","Autoshow, Wheelspin",EPIC,S1 874,
Lamborghini,Urus ,2019," 150,000 ","Autoshow, Wheelspin, ""Rampage"" accolade",RARE,A 767,
Lamborghini,Essenza SCV12 ,2020," 5,000,000 ",Autoshow (DLC: Italian Exotics Car Pack),LEGENDARY,S2 967,-
Lamborghini,Huracán EVO ,2020," 340,000 ",Autoshow (DLC: Car Pass),RARE,S1 851,
Lamborghini,Huracán STO ,2020," 450,000 ","""Hard to Find""",LEGENDARY,S1 883,
Lamborghini,SC20 ,2020," 2,500,000 ",Autoshow (DLC: Italian Exotics Car Pack),LEGENDARY,S1 884,-
Lamborghini,Sián Roadster ,2020," 3,500,000 ",Autoshow,LEGENDARY,S1 881,
Lamborghini,Aventador LP 780-4 Ultimae ,2021," 250,000 ","""Hard to Find""",LEGENDARY,S1 878,
Lamborghini,Countach LPI 800-4 ,2021," 2,750,000 ","""Hard to Find""",LEGENDARY,S1 865,0
Lamborghini,Huracán Sterrato ,2023," 250,000 ","""Master of Worlds"" accolade",LEGENDARY,S1 836,0
Lamborghini,Huracán Tecnica ,2022," 250,000 ",Autoshow (DLC: Italian Exotics Car Pack),LEGENDARY,S1 850,-
Lamborghini,Revuelto ,2024," 250,000 ","""Horizon Stadium Circuit Pro"" accolade",LEGENDARY,S2 905,0
Lancia,Fulvia Coupé Rallye 1.6 HF ,1968," 250,000 ","""Hard to Find""",RARE,C 526,0
Lancia,Stratos HF Stradale ,1974," 550,000 ",Autoshow,RARE,C 590,
Lancia,037 Stradale ,1982," 750,000 ","""Hard to Find""",RARE,B 647,
Lancia,Delta S4 ,1986," 1,000,000 ","""Hard to Find""",RARE,B 682,0
Lancia,Delta HF Integrale Evo ,1992," 100,000 ",Autoshow,COMMON,B 602,
Land Rover,Range Rover ,1973," 50,000 ","Autoshow, Wheelspin",COMMON,D 274,
Land Rover,Defender 90 ,1997," 30,000 ","Autoshow, Wheelspin",COMMON,D 366,
Land Rover,Series III ,1997," 20,000 ","Autoshow, Wheelspin",COMMON,D 100,
Land Rover,Range Rover Sport SVR ,2015," 133,000 ","Autoshow, Wheelspin",RARE,A 722,
Land Rover,Range Rover Velar First Edition ,2018," 85,000 ","Autoshow, Wheelspin",RARE,B 638,
Land Rover,Defender 110 X ,2020," 80,000 ","Autoshow, Wheelspin",COMMON,C 534,
Lexus,SC300 ,1997," 25,000 ","Autoshow, Wheelspin",RARE,C 555,
Lexus,LFA ,2010," 500,000 ","Autoshow, Wheelspin, ""Supersonic Speed"" accolade",EPIC,S1 810,
Lexus,RC F ,2015," 75,000 ","Autoshow, Wheelspin, ""Unbeatable Road Racing"" accolade",RARE,A 741,
Lexus,#14 VASSER SULLIVAN RC F GT3 ,2020," 295,000 ",Autoshow (DLC: Apex Allstars Car Pack),RARE,S1 890,-
Lexus,RC F Track Edition ,2020," 100,000 ",Autoshow (DLC: Car Pass),RARE,A 777,
