Brand,Vehicle,Year,Value,Collection,Rarity,PI
Honda,NSX-R ,2005,325000,"Autoshow, Earn 1,500 points in the ""Regional Mascots"" category in the Collection Journal",EPIC,B 570
Honda,NSX-R GT ,2005,600000,Barn Find: South of the Horizon Festival,BARN FIND,A 608
Honda,Civic Type R ,2007,17000,"Autoshow, Wheelspin",COMMON,C 454
Honda,Civic Type R ,2008,20000,Autoshow (DLC: Car Pass),RARE,B 514
Honda,Civic Type R ,2015,30000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,B 585
Honda,Ridgeline Baja Trophy Truck ,2015,400000,"Autoshow, Wheelspin",EPIC,B 579
Honda,Civic Type R ,2018,35000,"Autoshow, Wheelspin",RARE,A 608
Honda,e ,2022,30000,"Autoshow, Wheelspin",COMMON,D 398
Honda,Civic Type R ,2023,43000,"Autoshow, Wheelspin, Aftermarket Car, Earn 200 points in ""Car Upgrades"" category in the Collection Journal",RARE,A 620
HSV,GEN-F GTS ,2014,81000,"Autoshow, Wheelspin",RARE,A 601
HSV,Limited Edition Gen-F GTS Maloo ,2014,65000,"Autoshow, Wheelspin",COMMON,A 629
Hyundai,Veloster N ,2019,20000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,B 532
Hyundai,i30 N ,2020,32000,"Autoshow, Wheelspin",RARE,B 553
Hyundai,i20 N ,2021,48000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 564
Hyundai,N Vision 74 ,2022,325000,"Autoshow, Wheelspin",RARE,A 692
Hyundai,IONIQ 5 N ,2023,22000,"Autoshow, Wheelspin",RARE,A 657
Jaguar,D-Type ,1956,4300000,"Autoshow, Wheelspin",LEGENDARY,B 506
Jaguar,E-type ,1961,250000,Wheelspin,EPIC,C 414
Jaguar,Lightweight E-Type ,1964,7900000,"Autoshow, Wheelspin",LEGENDARY,B 568
Jaguar,Sport XJR-15 ,1991,950000,"Autoshow, Earn 900 points in the ""Car Collection"" category in the Collection Journal",LEGENDARY,S1 716
Jaguar,XJ220 ,1993,570000,"Autoshow, Wheelspin",LEGENDARY,A 676
Jaguar,XJ220S TWR ,1993,540000,"Autoshow, Wheelspin, Aftermarket Car",RARE,S1 750
Jaguar,C-X75 ,2010,3200000,"Autoshow, Wheelspin",LEGENDARY,S2 810
Jeep,Wrangler Rubicon ,2012,16000,"Autoshow, Wheelspin",COMMON,D 350
Jeep,Trailcat ,2016,70000,"Autoshow, Wheelspin",RARE,A 635
Jeep,Grand Cherokee Trackhawk ,2018,72000,"Autoshow, Wheelspin",COMMON,A 631
Jeep,JT ,2020,36000,"Autoshow, Wheelspin",COMMON,D 336
Jimco,#240 Fastball Racing Spec Trophy Truck ,2019,350000,"Autoshow, Wheelspin",EPIC,B 511
Jimco,#179 Hammerhead Class 1 ,2020,95000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 652
Koenigsegg,CCGT ,2008,3400000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,S2 900
Koenigsegg,Agera ,2011,1950000,"Autoshow, Wheelspin",LEGENDARY,S2 810
Koenigsegg,One:1 ,2015,3750000,Wheelspin,LEGENDARY,S2 890
Koenigsegg,Regera ,2016,2550000,Autoshow,LEGENDARY,S2 886
Koenigsegg,Agera RS ,2017,2900000,"Autoshow, Earn 2,100 points in the ""Discovery"" category in the Collection Journal",LEGENDARY,S2 890
Koenigsegg,Jesko ,2020,3500000,"Autoshow, Wheelspin",LEGENDARY,S2 899
Koenigsegg,Gemera ,2024,2000000,Autoshow (DLC: Car Pass),EPIC,S2 900
KTM,X-Bow GT4 ,2018,90000,"Autoshow, Wheelspin",EPIC,S1 749
Lamborghini,Miura P400 ,1967,1700000,"Autoshow, Wheelspin",LEGENDARY,B 505
Lamborghini,Countach LP5000 QV ,1988,600000,"""Hard to Find""",EPIC,A 622
Lamborghini,Diablo SV ,1997,375000,Barn Find: East Ito,BARN FIND,A 649
Lamborghini,Diablo GTR ,1999,680000,Wheelspin,EPIC,S2 823
Lamborghini,Murciélago LP 670-4 SV ,2010,1000000,"Autoshow, Wheelspin",EPIC,S1 707
Lamborghini,Sesto Elemento ,2011,2500000,Wheelspin,LEGENDARY,S2 871
Lamborghini,Aventador LP700-4 ,2012,345000,Wheelspin,EPIC,S1 753
Lamborghini,Gallardo LP570-4 Spyder Performante ,2012,210000,"Autoshow, Wheelspin",EPIC,A 685
Lamborghini,Veneno ,2013,3950000,"Autoshow, Wheelspin",LEGENDARY,S2 834
Lamborghini,Huracán LP 610-4 ,2014,200000,"Autoshow, Wheelspin, Loyalty Reward",EPIC,S1 738
Lamborghini,Centenario LP 770-4 ,2016,1750000,"Autoshow, Wheelspin, Loyalty Reward",LEGENDARY,S1 792
Lamborghini,Aventador SVJ ,2018,1200000,"Autoshow, Wheelspin",LEGENDARY,S1 794
Lamborghini,Urus ,2019,200000,"Autoshow, Earn 1,675 points in the ""Horizon Play"" category in the Collection Journal",RARE,A 659
Lamborghini,Essenza SCV12 ,2020,1500000,"Autoshow, Wheelspin",LEGENDARY,R 911
Lamborghini,Huracán EVO ,2020,250000,"""Hard to Find""",EPIC,S1 761
Lamborghini,Huracán STO ,2020,325000,"Autoshow, Wheelspin",LEGENDARY,S1 783
Lamborghini,Sián Roadster ,2020,2500000,"Autoshow, Wheelspin",LEGENDARY,S1 797
Lamborghini,Aventador LP 780-4 Ultimae ,2021,800000,Earn the Gold wristband,LEGENDARY,S1 794
Lamborghini,Countach LPI 800-4 ,2021,2100000,"Autoshow, Wheelspin",LEGENDARY,S1 773
Lamborghini,Huracán EVO Spyder ,2022,325000,"""Hard to Find""",RARE,S1 757
Lamborghini,Huracán Tecnica ,2022,365000,"Autoshow, Wheelspin",LEGENDARY,S1 747
Lamborghini,Huracán Sterrato ,2023,325000,"Earn 7,610 points in the ""Dirt Racing"" category in the Collection Journal",LEGENDARY,S1 738
Lamborghini,Revuelto ,2024,365000,"Autoshow, Earn 2,500 points in the ""Road Racing"" category in the Collection Journal",LEGENDARY,S2 829
Lamborghini,Temerario ,2024,250000,"""Hard to Find""",LEGENDARY,S2 801
Lancia,Stratos HF Stradale ,1974,680000,Treasure Car: Central Sotoyama,TREASURE CAR,C 483
Lancia,037 Stradale ,1982,600000,"""Hard to Find""",EPIC,B 555
Lancia,Delta S4 ,1986,55000,"Autoshow, Wheelspin",RARE,B 564
Lancia,Delta HF Integrale Evo ,1992,110000,"Autoshow, Wheelspin",COMMON,C 489
Land Rover,Range Rover Sport SVR ,2015,48000,"Autoshow, Earn 200 points in the ""Danger Signs"" category in the Collection Journal",RARE,A 604
Land Rover,Defender 110 X ,2020,250000,Autoshow,COMMON,C 427
Lexus,LFA ,2010,875000,Autoshow,EPIC,A 699
Lexus,LFA Forza Edition ,2010,1250000,"Earn 7,000 points in the ""Touge & Street Racing"" category in the Collection Journal",FORZA EDITION,S2 900
Lexus,RC F ,2015,35000,"Autoshow, Wheelspin",RARE,A 623
Lexus,LC 500 ,2021,79000,"Autoshow, Wheelspin",RARE,B 592
Lincoln,Continental ,1962,65000,Barn Find: West of The Estate,BARN FIND,D 267
Lotus,Elise GT1 ,1997,1500000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,S1 709
Lotus,Elise Series 1 Sport 190 ,1999,47000,"Autoshow, Wheelspin",COMMON,B 589
Lotus,Exige Cup 430 ,2018,250000,"""Hard to Find""",EPIC,S1 732
Lotus,Scura Motorsports Exige WTAC ,2018,400000,"Earn 9,360 points in the ""Road Racing"" category in the Collection Journal",LEGENDARY,R 998
Lotus,Evija ,2020,2450000,"Autoshow, Wheelspin",LEGENDARY,R 937
Lotus,Evija Forza Edition ,2020,500000,Gifted (DLC: VIP Membership),FORZA EDITION,S2 900
Lotus,Emira ,2023,250000,"""Hard to Find""",RARE,A 656
Lucid,Air Sapphire ,2024,240000,"Autoshow, Wheelspin",RARE,S2 820
Maserati,Ghibli Cup ,1997,102000,"Autoshow, Earn 525 points in the ""Car Collection"" category in the Collection Journal",RARE,B 591
Maserati,MC12 ,2004,3750000,"""Hard to Find""",EPIC,S1 751
Maserati,MC12 Versione Corsa ,2008,3100000,"Autoshow, Wheelspin",LEGENDARY,R 912
Maserati,MC20 ,2022,220000,"Autoshow, Wheelspin",EPIC,S1 753
Mazda,Cosmo 110S Series II ,1972,250000,"""Hard to Find""",EPIC,D 394
Mazda,RX-3 ,1973,73000,"Autoshow, Wheelspin",COMMON,D 328
Mazda,RX-3 Forza Edition ,1973,500000,Aftermarket Car (Daikoku Parking Area),FORZA EDITION,B 600
Mazda,#123 Mad Mike 808 Wagon 'FURSTY' ,1974,100000,Autoshow (DLC: Car Pass),LEGENDARY,S1 702
Mazda,RX-7 GSL-SE ,1985,30000,Treasure Car: Northwest Ohtani,TREASURE CAR,D 357
Mazda,Savanna RX-7 ,1990,23000,"Autoshow, Wheelspin",EPIC,C 451
Mazda,#55 Mazda 787B ,1991,1220000,Barn Find: Central Takashiro,BARN FIND,R 988
Mazda,RX-7 Type R ,1992,40000,"Autoshow, Earn 200 points in the ""Drift Zones"" category in the Collection Journal",RARE,B 548
Mazda,MX-5 Miata ,1994,15000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,D 329
Mazda,MX-5 Miata Forza Edition ,1994,500000,Aftermarket Car (Horizon Festival Drag Strip),FORZA EDITION,S2 850
Mazda,Mazdaspeed MX-5 ,2005,21000,"Autoshow, Wheelspin",COMMON,C 469
Mazda,Furai ,2008,353000,"""Hard to Find""",LEGENDARY,R 926
Mazda,Mazdaspeed 3 ,2010,25000,"Autoshow, Wheelspin",COMMON,B 536
Mazda,RX-8 R3 ,2011,33000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 508
Mazda,MX-5 ,2013,28000,"Autoshow, Wheelspin",COMMON,C 432
Mazda,MX-5 ,2016,18000,Autoshow,EPIC,C 499
Mazda,MX-5 Cup ,2017,60000,"Autoshow, Earn 300 points in the ""Horizon Play"" category in the Collection Journal",EPIC,B 586
Mazda,MX-5 Miata RF ,2022,29000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,B 509
McLaren,F1 ,1993,5000000,"Autoshow, Wheelspin",LEGENDARY,S1 713
McLaren,F1 GT ,1997,5500000,"Autoshow, Wheelspin",LEGENDARY,S1 769
McLaren,12C Coupé ,2011,105000,"Autoshow, Wheelspin",EPIC,S1 727
McLaren,P1 ,2013,1550000,"Autoshow, Wheelspin",LEGENDARY,S2 848
McLaren,650S Spider ,2014,130000,"Autoshow, Wheelspin",EPIC,S1 765
McLaren,570S Coupé ,2015,130000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 721
McLaren,600LT Coupé ,2018,260000,Autoshow,EPIC,S1 780
McLaren,Speedtail ,2019,2000000,"Autoshow, Wheelspin",LEGENDARY,S2 835
McLaren,620R ,2021,260000,Wheelspin,EPIC,S1 773
McLaren,765LT Coupé ,2021,358000,"Autoshow, Wheelspin",EPIC,S2 829
McLaren,Sabre ,2021,3400000,"""Hard to Find""",EPIC,S1 787
McLaren,Artura ,2023,220000,"Autoshow, Wheelspin",EPIC,S1 766
Mercedes-AMG,GT S ,2015,90000,"Autoshow, Wheelspin",RARE,A 691
Mercedes-AMG,C 63 S Coupé ,2016,34000,"Autoshow, Wheelspin",RARE,A 645
Mercedes-AMG,GT R ,2017,250000,"""Hard to Find""",EPIC,S1 764
Mercedes-AMG,E 63 S ,2018,63000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,A 674
Mercedes-AMG,GT 4-Door Coupé ,2018,250000,Wheelspin,EPIC,A 664
Mercedes-AMG,GT Black Series 'Welcome Pack' ,2020,200000,Autoshow (DLC: Welcome Pack),LEGENDARY,S2 900
Mercedes-AMG,SLC 43 Final Edition ,2020,50000,"Autoshow, Wheelspin",RARE,A 620
Mercedes-AMG,GT Black Series ,2021,440000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 782
Mercedes-AMG,Mercedes-AMG ONE ,2021,2800000,"Autoshow, Wheelspin",LEGENDARY,S2 900
Mercedes-AMG,SL 63 ,2021,120000,"Autoshow, Wheelspin",RARE,A 690
Mercedes-Benz,300 SL Coupé ,1954,1700000,"Autoshow, Wheelspin",LEGENDARY,D 388
Mercedes-Benz,300 SLR ,1955,60000000,"Autoshow, Wheelspin",LEGENDARY,B 599
Mercedes-Benz,AMG Hammer Coupe ,1987,225000,"Autoshow, Wheelspin",COMMON,B 565
Mercedes-Benz,190E 2.5-16 Evolution II ,1990,200000,Autoshow,EPIC,C 460
Mercedes-Benz,190E 2.5-16 Evolution II Forza Edition ,1990,750000,Wheelspin,FORZA EDITION,A 700
Mercedes-Benz,AMG CLK GTR ,1998,3600000,Wheelspin,LEGENDARY,S1 713
Mercedes-Benz,SL 65 AMG Black Series ,2009,360000,"Autoshow, Wheelspin",EPIC,A 699
Mercedes-Benz,C 63 AMG Coupé Black Series ,2012,175000,Autoshow,EPIC,A 654
Mercedes-Benz,A 45 AMG ,2013,25000,"Autoshow, Wheelspin",RARE,B 582
Mercedes-Benz,G 65 AMG ,2013,120000,"Autoshow, Earn 200 points in the ""Trailblazers"" category in the Collection Journal",RARE,B 530
Mercedes-Benz,G 63 AMG 6x6 ,2014,780000,Wheelspin,EPIC,C 489
Mercedes-Benz,Unimog U5023 ,2014,235000,"Autoshow, Wheelspin",RARE,D 100
Mercedes-Benz,X-Class ,2018,50000,"Autoshow, Wheelspin",COMMON,D 258
Meyers,Manx ,1971,34000,"Autoshow, Wheelspin",EPIC,D 201
Meyers,Manx 2.0 ,2023,74000,"Autoshow, Wheelspin",EPIC,B 540
MG,Metro 6R4 ,1986,220000,"Autoshow, Wheelspin, Earn 2,500 points in the ""Dirt Racing"" category in the Collection Journal",LEGENDARY,A 627
MINI,Cooper S ,1965,39000,"Autoshow, Wheelspin, Aftermarket Car",RARE,D 158
MINI,John Cooper Works GP ,2012,30000,"Autoshow, Wheelspin",RARE,B 509
MINI,X-Raid All4 Racing Countryman ,2013,220000,"Autoshow, Wheelspin",EPIC,B 523
MINI,X-Raid John Cooper Works Buggy ,2018,425000,"Earn 6,910 points in the ""Cross Country Racing"" category in the Collection Journal",EPIC,B 514
MINI,John Cooper Works GP ,2021,250000,"""Hard to Find""",RARE,B 599
Mitsubishi,Starion ESI-R ,1988,250000,"""Hard to Find""",RARE,C 446
Mitsubishi,#269 Attacking the Clock Racing Minicab Time Attack ,1990,100000,Autoshow (DLC: Time Attack Car Pack),EPIC,D 166
Mitsubishi,Galant VR-4 ,1992,25000,"Autoshow, Wheelspin",RARE,C 432
Mitsubishi,Eclipse GSX ,1995,35000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 436
Mitsubishi,Lancer Evolution III GSR ,1995,29000,Treasure Car: West Takashiro,TREASURE CAR,B 517
Mitsubishi,Montero Exceed 2800 TD ,1995,25000,"Autoshow, Wheelspin",RARE,D 190
Mitsubishi,GTO ,1997,20000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 495
Mitsubishi,Montero Evolution ,1997,50000,Barn Find: East Shimanoyama,BARN FIND,D 346
Mitsubishi,Lancer Evolution VI GSR TM Edition ,2001,70000,"Autoshow, Earn the Yellow Wristband",RARE,B 574
Mitsubishi,Lancer Evolution VIII MR ,2004,30000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 555
Mitsubishi,Lancer Evolution VIII MR 'Welcome Pack' ,2004,100000,Autoshow (DLC: Welcome Pack),LEGENDARY,A 700
Mitsubishi,#1 Sierra Sierra Enterprises Lancer Evolution Time Attack ,2005,90000,Barn Find: North Shimanoyama,BARN FIND,R 962
Mitsubishi,Lancer Evolution IX MR ,2006,250000,"""Hard to Find""",EPIC,B 521
Mitsubishi,Lancer Evolution X GSR ,2008,25000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 534
Nissan,Fairlady Z 432 ,1969,250000,"Autoshow, Wheelspin",EPIC,D 369
Nissan,Skyline 2000GT-R ,1971,169000,Barn Find: Southwest Nangan,BARN FIND,D 380
Nissan,Patrol ,1972,20000,Autoshow (DLC: Car Pass),COMMON,D 157
Nissan,Skyline H/T 2000GT-R ,1973,416000,"Autoshow, Wheelspin",EPIC,C 407
Nissan,#11 Tomica Skyline Turbo Super Silhouette ,1983,301000,Barn Find: Central Ito,BARN FIND,S2 847
Nissan,Skyline 2000 Turbo RS ,1983,25000,Autoshow (DLC: Car Pass),COMMON,C 414
Nissan,Safari Turbo ,1985,25000,Treasure Car: North Ito,TREASURE CAR,D 123
Nissan,Be-1 ,1987,23000,"""Hard to Find""",EPIC,D 175
Nissan,Skyline GTS-R ,1987,41000,Autoshow,EPIC,C 432
Nissan,PAO ,1989,12000,Barn Find: West Minamino,BARN FIND,D 145
Nissan,S-Cargo ,1989,19000,"Autoshow, Wheelspin, Aftermarket Car",RARE,D 131
Nissan,S-Cargo Forza Edition ,1989,500000,Wheelspin,FORZA EDITION,S1 800
Nissan,Silvia K's ,1989,40000,"Autoshow, Complete the Prologue",COMMON,C 455
Nissan,#12 Skyline GT-R (BNR32 Gr.A) JTC ,1990,1500000,Autoshow (DLC: Car Pass),LEGENDARY,S2 858
Nissan,Pulsar GTI-R ,1990,28000,"Autoshow, Wheelspin, Aftermarket Car",RARE,C 486
Nissan,Figaro ,1991,40000,Treasure Car: Southwest Tokyo,TREASURE CAR,D 234
Nissan,Skyline GT-R ,1992,72000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 541
Nissan,#32 Skyline WTAC 'Xtreme GTR' ,1993,570000,Autoshow (DLC: Time Attack Car Pack),EPIC,R 923
Nissan,240SX ,1993,250000,Wheelspin,EPIC,D 339
Nissan,Fairlady Z Version S Twin Turbo ,1994,40000,Autoshow,EPIC,C 497
Nissan,Silvia K's ,1994,20000,"Autoshow, Wheelspin",COMMON,C 499
Nissan,Gloria Gran Turismo ,1995,15000,"Autoshow, Wheelspin",RARE,C 498
Nissan,NISMO GT-R LM ,1995,1100000,"Autoshow, Wheelspin",LEGENDARY,B 544
Nissan,Skyline GT-R V-Spec ,1997,250000,"""Hard to Find""",RARE,B 555
Nissan,Stagea RS FOUR V ,1997,20000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,C 439
Nissan,#23 Pennzoil NISMO Skyline GT-R ,1998,600000,Barn Find: West Takashiro,BARN FIND,S2 848
Nissan,R390 (GT1) ,1998,1000000,Barn Find: Southwest Ohtani,BARN FIND,S1 774
Nissan,Silvia K's Aero ,1998,22000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 494
Nissan,Skyline GT-R 40th Anniversary ,1998,120000,Autoshow (DLC: Car Pass),LEGENDARY,B 547
Nissan,#36 Dream Project S15 Silvia WTAC ,2000,400000,Autoshow (DLC: Time Attack Car Pack),EPIC,R 996
Nissan,Skyline GT-R V·Spec II ,2000,200000,"Autoshow, Wheelspin",RARE,B 590
Nissan,Silvia Spec-R ,2002,44000,"Autoshow, Wheelspin",COMMON,B 551
Nissan,Fairlady Z ,2003,18000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,B 534
Nissan,370Z ,2010,250000,"""Hard to Find""",COMMON,B 568
Nissan,GT-R Black Edition (R35) ,2012,80000,"Autoshow, Wheelspin, Aftermarket Car",RARE,S1 703
Nissan,GT-R Black Edition (R35) Forza Edition ,2012,750000,Wheelspin,FORZA EDITION,S2 850
Nissan,GT-R (R35) ,2017,115000,"Autoshow, Wheelspin",RARE,S1 709
Nissan,370Z Nismo ,2019,46000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 603
Nissan,GT-R NISMO (R35) ,2020,270000,"Autoshow, Wheelspin",EPIC,S1 736
Nissan,GT-R NISMO ,2024,220000,"Autoshow, Earn 1,000 points in the ""Touge & Street Rivals"" category in the Collection Journal",EPIC,S1 741
Nissan,Z NISMO ,2024,60000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,A 652
Noble,M600 ,2010,322000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 793
Opel,Manta 400 ,1984,152000,"Autoshow, Aftermarket Car, Earn 1,075 points in the ""Dirt Rivals"" category in the Collection Journal",RARE,B 576
Pagani,Zonda R ,2009,4750000,"Autoshow, Wheelspin",LEGENDARY,R 918
Pagani,Zonda Cinque Roadster ,2010,4000000,"Autoshow, Wheelspin",LEGENDARY,S2 812
Pagani,Huayra BC Coupe ,2016,3600000,"Autoshow, Wheelspin",LEGENDARY,S2 851
Pagani,Huayra R ,2021,2750000,"""Hard to Find""",LEGENDARY,R 954
Peel,P50 ,1962,21000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,D 100
Peel,P50 Trolli Edition ,1962,21000,Autoshow (Promotional: Trolli),LEGENDARY,D 100
Penhall,The Cholla ,2011,85000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 541
Peugeot,205 Turbo 16 ,1984,275000,Barn Find: Northwest Shimanoyama,BARN FIND,C 500
Peugeot,205 Rallye ,1991,22000,"Autoshow, Wheelspin",RARE,D 350
Peugeot,207 Super 2000 ,2007,85000,Earn the Pink wristband,EPIC,A 632
Plymouth,Fury ,1958,53000,"Autoshow, Wheelspin",RARE,D 361
Plymouth,Barracuda Formula S ,1968,45000,"Autoshow, Wheelspin",RARE,C 445
Plymouth,Cuda 426 HEMI ,1971,125000,"Autoshow, Wheelspin",EPIC,C 441
Polaris,RZR Pro XP Factory Racing Limited Edition ,2021,50000,"Autoshow, Wheelspin",RARE,C 439
Polaris,RZR Pro XP Ultimate ,2021,34000,"Autoshow, Earn 2,500 points in the ""Cross Country Racing"" category in the Collection Journal",RARE,C 496
Pontiac,Firebird Trans Am ,1977,60000,"Autoshow, Wheelspin",RARE,D 311
Pontiac,Firebird Trans Am GTA ,1987,25000,"Autoshow, Wheelspin",COMMON,D 382
Porsche,#3 917 LH ,1970,1000000,"Autoshow, Earn 3,000 points in the ""Car Collection"" category in the Collection Journal",LEGENDARY,S1 776
Porsche,#3 917 LH Forza Edition ,1970,1250000,Wheelspin,FORZA EDITION,R 998
Porsche,911 Carrera RS ,1973,1050000,"Autoshow, Wheelspin",LEGENDARY,C 490
Porsche,911 Turbo 3.3 ,1982,240000,Barn Find: South Ohtani,BARN FIND,B 550
Porsche,#185 959 Prodrive Rally Raid ,1986,1500000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,A 623
Porsche,#203 Porsche AG 961 ,1987,520000,Autoshow (DLC: Car Pass),LEGENDARY,S2 840
Porsche,959 ,1987,1875000,Treasure Car: North Shimanoyama,TREASURE CAR,A 661
Porsche,944 Turbo ,1989,30000,"Autoshow, Wheelspin",RARE,B 539
Porsche,911 Turbo S Leichtbau ,1993,600000,"""Hard to Find""",LEGENDARY,A 652
Porsche,928 GTS ,1993,150000,"Autoshow, Wheelspin",RARE,B 563
Porsche,968 Turbo S ,1993,520000,"Autoshow, Wheelspin",RARE,B 594
Porsche,911 GT2 ,1995,1100000,Wheelspin,EPIC,A 644
Porsche,911 GT1 Strassenversion ,1997,4000000,"Autoshow, Wheelspin",LEGENDARY,S1 746
Porsche,Carrera GT ,2003,1800000,Car Mastery: Porsche 918 Spyder,EPIC,S1 758
Porsche,911 GT3 ,2004,135000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 674
Porsche,Cayman GT3 WTAC ,2005,180000,"Autoshow, Wheelspin",EPIC,S2 856
Porsche,911 GT3 RS 4.0 ,2012,930000,"Autoshow, Earn 2,500 points in the ""Speed Zones"" category in the Collection Journal",EPIC,S1 726
Porsche,918 Spyder ,2014,2300000,"Autoshow, Earn 3,700 points in the ""Horizon Play"" category in the Collection Journal",LEGENDARY,S2 858
Porsche,718 Cayman GTS ,2018,75000,"Autoshow, Wheelspin",EPIC,A 675
Porsche,911 GT2 RS ,2018,550000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S2 803
Porsche,Cayenne Turbo ,2018,79000,"Autoshow, Wheelspin",EPIC,A 638
Porsche,Macan LPR Rally Raid ,2018,250000,"Autoshow, Wheelspin",EPIC,B 528
Porsche,#70 Porsche Motorsport 935 ,2019,1600000,"Autoshow, Wheelspin",LEGENDARY,S2 853
Porsche,911 Carrera S ,2019,145000,"Autoshow, Wheelspin",RARE,S1 714
Porsche,911 GT3 RS ,2019,250000,Wheelspin,EPIC,S1 760
Porsche,Taycan Turbo S ,2020,200000,"Autoshow, Wheelspin",COMMON,S1 725
Porsche,911 GT3 ,2021,260000,"Autoshow, Wheelspin",EPIC,S1 752
Porsche,718 Cayman GT4 RS ,2022,190000,"Autoshow, Earn 1,300 points in the ""Road Rivals"" category in the Collection Journal",EPIC,S1 737
Porsche,Mission R ,2022,5000000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,S2 865
Porsche,911 GT3 RS ,2023,424000,"Autoshow, Wheelspin",EPIC,S1 758
Porsche,911 Rallye ,2023,390000,Earn the Orange wristband,EPIC,A 700
Porsche,911 Turbo S ,2023,275000,"Autoshow, Wheelspin",RARE,S1 774
Radical,RXC Turbo ,2015,147000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S2 842
Ram,1500 TRX ,2024,100000,"Autoshow, Earn the Yellow Wristband",COMMON,B 514
Reliant,Supervan III ,1972,39000,"Autoshow, Wheelspin",COMMON,D 100
Renault,8 Gordini ,1967,250000,"""Hard to Find""",COMMON,D 322
Renault,5 Turbo ,1980,143000,"Autoshow, Wheelspin",RARE,C 417
Renault,Clio Williams ,1993,30000,"Autoshow, Wheelspin",COMMON,D 400
Renault,Mégane R26.R ,2008,58000,"Autoshow, Wheelspin",RARE,B 561
Renault,Megane RS 250 ,2010,14000,"Autoshow, Wheelspin",COMMON,B 538
Renault,Megane R.S. ,2018,32000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 547
Rimac,Nevera ,2021,2250000,Wheelspin,LEGENDARY,R 913
RIVIAN,R1T ,2021,56000,"Autoshow, Wheelspin",EPIC,A 607
RJ Anderson,#37 Polaris RZR Pro 2 Truck ,2016,120000,"Autoshow, Earn 975 points in the ""Cross Country Rivals"" category in the Collection Journal",EPIC,A 674
RJ Anderson,#37 Polaris RZR Pro 4 Truck ,2021,250000,Wheelspin,EPIC,A 677
Saleen,S7 LM ,2017,1000000,"""Hard to Find""",EPIC,S2 835
Schuppan,962CR ,1993,1950000,"""Hard to Find""",EPIC,S1 764
Shelby,Cobra 427 S/C ,1965,3000000,"Earn 2,700 points in the ""Car Collection"" category in the Collection Journal",LEGENDARY,B 582
Shelby,Cobra Daytona Coupe ,1965,20000000,"Autoshow, Wheelspin",LEGENDARY,B 515
SIERRA Cars,#23 Yokohama ALPHA ,2020,65000,"Autoshow, Wheelspin",EPIC,R 926
SIERRA Cars,700R ,2021,75000,"Autoshow, Wheelspin",RARE,D 346
SIERRA Cars,RX3 ,2021,50000,"Autoshow, Wheelspin",RARE,A 635
SRT,Viper GTS ,2013,135000,"Autoshow, Wheelspin, Loyalty Reward",RARE,S1 707
Subaru,BRAT GL ,1980,20000,"Autoshow, Wheelspin",COMMON,D 159
Subaru,LEGACY RS ,1990,15000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 406
Subaru,Vivio RX-R ,1994,10000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,D 281
Subaru,Vivio RX-R Forza Edition ,1994,750000,"Earn 3,250 points in the ""Horizon Life Events"" category in the Collection Journal",FORZA EDITION,S2 900
Subaru,SVX ,1996,13000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 466
Subaru,Impreza 22B-STi Version ,1998,330000,"Autoshow, Wheelspin",LEGENDARY,B 600
Subaru,IMPREZA WRX STI ,2004,30000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,B 552
Subaru,IMPREZA WRX STI ,2005,35000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,B 570
